Name,Regional,geometry
CFTV78,OESTE,POINT Z (-43.9623009113417 -19.96938857212248 0)
CFTV81,NOROESTE,POINT Z (-43.9720165803635 -19.92194580565862 0)
CFTV83,NOROESTE,POINT Z (-43.95359867262284 -19.91402944664273 0)
CFTV84,NOROESTE,POINT Z (-43.9864423583767 -19.90472292784927 0)
CFTV85,CENTRO-SUL,POINT Z (-43.94050641588512 -19.91610489569092 0)
CFTV86,CENTRO-SUL,POINT Z (-43.94734486138752 -19.93794377287946 0)
CFTV88,OESTE,POINT Z (-43.95453068175824 -19.96896781772823 0)
CFTV89,OESTE,POINT Z (-43.9612599336321 -19.95036968642083 0)
CFTV90,OESTE,POINT Z (-43.94692824664895 -19.97225578632193 0)
CFTV92,VENDA NOVA,POINT Z (-43.94808778980703 -19.81659181592276 0)
CFTV93,OESTE,POINT Z (-43.98641962440531 -19.95568361875209 0)
CFTV95,NOROESTE,POINT Z (-43.98763941087473 -19.92675519873358 0)
CFTV96,NOROESTE,POINT Z (-43.98343261600526 -19.92224628390408 0)
Cam 63,PAMPULHA,POINT Z (-43.96202722747054 -19.85228777246699 0)
LE01,LESTE,POINT Z (-43.91314166666667 -19.90812777777777 0)
BA01,BARREIRO,POINT Z (-44.01666320545179 -19.99462033920975 0)
BA02,BARREIRO,POINT Z (-44.01450749040738 -19.98843252591505 0)
BA03,BARREIRO,POINT Z (-44.02483132633292 -19.98400794954172 0)
BA04,BARREIRO,POINT Z (-44.02931910436016 -19.99688048433423 0)
BA05,BARREIRO,POINT Z (-44.02850144853203 -19.99804146246987 0)
NE01,NORDESTE,POINT Z (-43.93203171413327 -19.88895108189184 0)
NE02,NORDESTE,POINT Z (-43.9329716425985 -19.88923576728897 0)
NE03,NORDESTE,POINT Z (-43.93026979758903 -19.88926052139708 0)
NE04,NORDESTE,POINT Z (-43.92875890480143 -19.89578135743239 0)
VN01,VENDA NOVA,POINT Z (-43.99111940027358 -19.80182152541161 0)
VN02,VENDA NOVA,POINT Z (-43.98983255348899 -19.7962829575386 0)
VN03,VENDA NOVA,POINT Z (-43.98229535656591 -19.78504325051058 0)
VN04,VENDA NOVA,POINT Z (-43.98437402904876 -19.79647678217407 0)
CS02,CENTRO-SUL,POINT Z (-43.94914036996343 -19.94205293402264 0)
PA01,PAMPULHA,POINT Z (-43.94285671987824 -19.86119104768368 0)
PA02,PAMPULHA,POINT Z (-43.93767066007432 -19.86091482601723 0)
PA03,PAMPULHA,POINT Z (-43.94598791728949 -19.86073967741122 0)
PA04,PAMPULHA,POINT Z (-43.94937873146177 -19.8699949954751 0)
PA05,PAMPULHA,POINT Z (-43.95038703855493 -19.86091596525741 0)
LE02,LESTE,POINT Z (-43.91024743887152 -19.87772861532853 0)
LE03,LESTE,POINT Z (-43.91143256154745 -19.92256535351929 0)
NE06,NORDESTE,POINT Z (-43.91578981917061 -19.87599201358194 0)
NE05,NORDESTE,POINT Z (-43.91532379619594 -19.85446353015061 0)
NE07,NORDESTE,POINT Z (-43.91836148147478 -19.87516642384495 0)
NT01,NORTE,POINT Z (-43.90400748546131 -19.82322620548051 0)
NT02,NORTE,POINT Z (-43.92427607540563 -19.82559487427038 0)
NT03,NORTE,POINT Z (-43.93227738842144 -19.82907083330537 0)
NT04,NORTE,POINT Z (-43.93039390825418 -19.83607319988738 0)
NT05,NORTE,POINT Z (-43.93607320094882 -19.83334484398152 0)
SA04,PAMPULHA,POINT Z (-43.97767977042691 -19.84319314610876 0)
SA05,PAMPULHA,POINT Z (-43.97764165920536 -19.83949672466855 0)
SA06,PAMPULHA,POINT Z (-43.9763348661623 -19.83701951980759 0)
SA07,PAMPULHA,POINT Z (-43.97435547128791 -19.83538314560884 0)
CMG04,NOROESTE,POINT Z (-44.01866097138061 -19.93178894791018 0)
CMG03,OESTE,POINT Z (-44.02156519243656 -19.93490700553208 0)
CMG01,OESTE,POINT Z (-44.01551704684664 -19.94494714523548 0)
SA03,PAMPULHA,POINT Z (-43.9770010888553 -19.84586684480707 0)
SA02,PAMPULHA,POINT Z (-43.98040582660902 -19.84701937612777 0)
SA01,PAMPULHA,POINT Z (-43.97946425652081 -19.83621000481579 0)
SA09,PAMPULHA,POINT Z (-43.97377050191667 -19.84622237925987 0)
CMG02,OESTE,POINT Z (-44.01608441562372 -19.94288088599182 0)
GT01,OESTE,POINT Z (-43.95990592888959 -19.93020041527703 0)
GT02,OESTE,POINT Z (-43.9588324660614 -19.93253644707319 0)
GT03,OESTE,POINT Z (-43.9596633717396 -19.93578799883741 0)
GT04,OESTE,POINT Z (-43.95678792037731 -19.94303866573695 0)
ST01,LESTE,POINT Z (-43.90798436603142 -19.91308122313367 0)
ST02,LESTE,POINT Z (-43.9107812719706 -19.91782424996817 0)
CLF01,NOROESTE,POINT Z (-44.01310874771788 -19.9256787758285 0)
CLF02,NOROESTE,POINT Z (-44.01161247764897 -19.92839156833507 0)
CLF03,NOROESTE,POINT Z (-44.00905131890954 -19.92842234071863 0)
pp1m01,NORTE,POINT Z (-43.93204223473936 -19.85614223403261 0)
pnsp01,NORTE,POINT Z (-43.92741708087063 -19.84799654287756 0)
pp1m02,NORTE,POINT Z (-43.92984034801574 -19.85501727619789 0)
SA08,VENDA NOVA,POINT Z (-43.98073047453781 -19.83245935258312 0)
SA10,PAMPULHA,POINT Z (-43.97127698556191 -19.84409728623978 0)
ORLA 23,PAMPULHA,POINT Z (-43.97722152829331 -19.85734566904852 0)
ORLA 18,PAMPULHA,POINT Z (-43.98006705657881 -19.85932095689936 0)
ORLA 03,PAMPULHA,POINT Z (-43.97958905190961 -19.85892926358093 0)
TOTEM 01 (ORLA 26),PAMPULHA,POINT Z (-43.97905408130431 -19.85932984196187 0)
ORLA XXX,PAMPULHA,POINT Z (-43.97014081069357 -19.85487854499502 0)
ORLA 19,PAMPULHA,POINT Z (-43.96722866953357 -19.85395493437093 0)
ORLA 18,PAMPULHA,POINT Z (-43.98006705657881 -19.85932095689936 0)
ORLA 20,PAMPULHA,POINT Z (-43.97281632184341 -19.85094412050733 0)
