Name,Regional,geometry
C13035,PAMPULHA,POINT Z (-43.95988964362598 -19.85165242879189 0)
C13036,PAMPULHA,POINT Z (-43.95568170783122 -19.8518523796789 0)
C13037,PAMPULHA,POINT Z (-43.95742978786772 -19.85099296418582 0)
C13042,PAMPULHA,POINT Z (-43.96678491205044 -19.83958880909046 0)
C13901,PAMPULHA,POINT Z (-43.95199391826323 -19.87795289114236 0)
C13902,PAMPULHA,POINT Z (-43.96202936823171 -19.85227994623742 0)
C13903,PAMPULHA,POINT Z (-43.95996294142801 -19.85726078085591 0)
C13906,PAMPULHA,POINT Z (-43.96345169530753 -19.83313394849421 0)
C13908,PAMPULHA,POINT Z (-43.9279080380693 -19.86497870577872 0)
C13909 (C16178),NORTE,POINT Z (-43.92796682239702 -19.86347249901686 0)
C16001,LESTE,POINT Z (-43.91794364725393 -19.91597147819434 0)
C16002,LESTE,POINT Z (-43.91406387794329 -19.91552927566324 0)
C16003,LESTE,POINT Z (-43.91217933126605 -19.91654283327065 0)
C16004,LESTE,POINT Z (-43.91849319463342 -19.91157869038342 0)
C16005,LESTE,POINT Z (-43.91827700586871 -19.91089623648315 0)
C16006,LESTE,POINT Z (-43.92499024225771 -19.91162379717207 0)
C16007,LESTE,POINT Z (-43.92879764165144 -19.90815547374183 0)
C16008,LESTE,POINT Z (-43.92982527285901 -19.9120831447464 0)
C16009,LESTE,POINT Z (-43.92888348735458 -19.91352251255865 0)
C16010,LESTE,POINT Z (-43.91323795005017 -19.90528955213862 0)
C16012,LESTE,POINT Z (-43.91653610959057 -19.90973392263411 0)
C16013,LESTE,POINT Z (-43.91730073809572 -19.90946544354339 0)
C16014,LESTE,POINT Z (-43.91850843882204 -19.90916837237013 0)
C16015,LESTE,POINT Z (-43.91919976308144 -19.90867652654893 0)
C16016,LESTE,POINT Z (-43.919519 -19.907533 0)
C16017,LESTE,POINT Z (-43.9179753825468 -19.90784937214054 0)
C16018,LESTE,POINT Z (-43.91630032359505 -19.90805159444686 0)
C16019,LESTE,POINT Z (-43.93964335709696 -19.91128191988052 0)
C16020,NOROESTE,POINT Z (-43.94090721603954 -19.91180671294195 0)
C16021,LESTE,POINT Z (-43.92834504214879 -19.90218963742445 0)
C16022,NORDESTE,POINT Z (-43.92718872194121 -19.89508790368193 0)
C16023,NORDESTE,POINT Z (-43.92777925487248 -19.89793434286888 0)
C16024,NORDESTE,POINT Z (-43.92892412505849 -19.87744008910627 0)
C16025,NORDESTE,POINT Z (-43.92718534960858 -19.87122886783826 0)
C16026,NORDESTE,POINT Z (-43.92845518250066 -19.86769452400759 0)
C16028,NORDESTE,POINT Z (-43.92850902721658 -19.89084810189023 0)
C16029,NORDESTE,POINT Z (-43.92919306714702 -19.88473232312115 0)
C16030,NORDESTE,POINT Z (-43.92905011673874 -19.8890017806623 0)
C16031,NORDESTE,POINT Z (-43.92151538951937 -19.88916218457152 0)
C16032,NORDESTE,POINT Z (-43.92788990929541 -19.89289974407507 0)
C16033,NORDESTE,POINT Z (-43.92427170027437 -19.89374834420165 0)
C16034,LESTE,POINT Z (-43.91999140835478 -19.89096849937939 0)
C16035,NORDESTE,POINT Z (-43.92693717288817 -19.89284879968351 0)
C16036,NORDESTE,POINT Z (-43.92770823375514 -19.89063286216615 0)
C16037,NORDESTE,POINT Z (-43.92829312390803 -19.88909623964845 0)
C16038,NORDESTE,POINT Z (-43.92504148385385 -19.89099324420785 0)
C16039,NORDESTE,POINT Z (-43.92854562371095 -19.88141652780565 0)
C16040,NORDESTE,POINT Z (-43.92907588259119 -19.88696968110751 0)
C16041,NORDESTE,POINT Z (-43.92891674719952 -19.88350856001868 0)
C16042,NORDESTE,POINT Z (-43.92672988864958 -19.88826605849093 0)
C16043,NORDESTE,POINT Z (-43.92417369314376 -19.8907343737946 0)
C16044,NORDESTE,POINT Z (-43.92904724960694 -19.8786770794095 0)
C16045,NORDESTE,POINT Z (-43.92746138967678 -19.88639321036185 0)
C16046,NORDESTE,POINT Z (-43.92562758630726 -19.887448725948 0)
C16047,NORDESTE,POINT Z (-43.92422586349958 -19.88921230454061 0)
C16048,NORDESTE,POINT Z (-43.92615596679718 -19.88465477541591 0)
C16049,NORDESTE,POINT Z (-43.92337956158714 -19.88499583730088 0)
C16050,NORDESTE,POINT Z (-43.92842693063695 -19.88459549283273 0)
C16051,LESTE,POINT Z (-43.92548174426251 -19.91882534737314 0)
C16052,LESTE,POINT Z (-43.93078777972154 -19.91310079819705 0)
C16053,LESTE,POINT Z (-43.92835453435153 -19.91223933462698 0)
C16054,LESTE,POINT Z (-43.93048879657071 -19.91062225517522 0)
C16056,LESTE,POINT Z (-43.93235037348547 -19.91155950729091 0)
C16055,LESTE,POINT Z (-43.93226724809459 -19.9094648050493 0)
C16057,LESTE,POINT Z (-43.93675684710474 -19.91244380236966 0)
C16058,LESTE,POINT Z (-43.93818629300411 -19.90957816547409 0)
C16060,LESTE,POINT Z (-43.93434848705152 -19.91019873259297 0)
C16061,LESTE,POINT Z (-43.93605400850333 -19.90516972729391 0)
C16062,LESTE,POINT Z (-43.93137023645355 -19.9096312226102 0)
C16063,LESTE,POINT Z (-43.93585248229157 -19.90883142781486 0)
C16064,LESTE,POINT Z (-43.93704922080722 -19.90815900851055 0)
C16065,LESTE,POINT Z (-43.93445513154755 -19.9074092372146 0)
C16066,NORDESTE,POINT Z (-43.93877985620533 -19.90659791814332 0)
C16067,LESTE,POINT Z (-43.92548467823304 -19.91449137278779 0)
C16068,LESTE,POINT Z (-43.93220076177352 -19.90675518791293 0)
C16069,LESTE,POINT Z (-43.93118879612366 -19.90360066328307 0)
C16070,LESTE,POINT Z (-43.93294783522477 -19.90469332981084 0)
C16071,LESTE,POINT Z (-43.93257867989383 -19.90388759301367 0)
C16072,LESTE,POINT Z (-43.92994974564953 -19.90700558234653 0)
C16074,LESTE,POINT Z (-43.917864 -19.909073 0)
C16076,NORDESTE,POINT Z (-43.89669548606587 -19.84535003798081 0)
C16077,NORDESTE,POINT Z (-43.89442522355502 -19.84186462273242 0)
C16078,NORDESTE,POINT Z (-43.91128860982146 -19.85854819974971 0)
C16079,NORDESTE,POINT Z (-43.91859169403618 -19.86044290130621 0)
C16080,LESTE,POINT Z (-43.91281119517029 -19.88602661302338 0)
C16081,NORDESTE,POINT Z (-43.90504373013383 -19.87540165302747 0)
C16082,NORDESTE,POINT Z (-43.90336582093028 -19.87288766561482 0)
C16083,NORDESTE,POINT Z (-43.90330186952004 -19.87047001274054 0)
C16084,NORDESTE,POINT Z (-43.90406630317457 -19.86801242990359 0)
C16085,NORDESTE,POINT Z (-43.90231397595615 -19.86605095828623 0)
C16086,NORDESTE,POINT Z (-43.90037260397386 -19.86591666970751 0)
C16087,NORDESTE,POINT Z (-43.90505123867152 -19.86084845380732 0)
C16088,NORDESTE,POINT Z (-43.90567130054038 -19.85816689348089 0)
C16089,NORDESTE,POINT Z (-43.9000325945218 -19.85704613284776 0)
C16090,NORDESTE,POINT Z (-43.89802275846842 -19.85089343675018 0)
C16091,NORDESTE,POINT Z (-43.91204869580042 -19.86163334907886 0)
C16092,LESTE,POINT Z (-43.89797786655871 -19.89433386414958 0)
C16093,LESTE,POINT Z (-43.90668910041326 -19.89485224774205 0)
C16094,NORDESTE,POINT Z (-43.89955082778331 -19.85520222528637 0)
C16095,NORDESTE,POINT Z (-43.89902970170478 -19.85260779452012 0)
C16096,NORDESTE,POINT Z (-43.90843687014305 -19.8624050316654 0)
C16097,NORDESTE,POINT Z (-43.89887638282107 -19.85017077858481 0)
C16098,LESTE,POINT Z (-43.89415324127546 -19.89672475413967 0)
C16099,NORDESTE,POINT Z (-43.89472511483714 -19.85121742491437 0)
C16100,LESTE,POINT Z (-43.90150321318302 -19.88618906577661 0)
C16101,LESTE,POINT Z (-43.90401377833525 -19.89114198364534 0)
C16103,LESTE,POINT Z (-43.89681139491982 -19.88596232221725 0)
C16104,LESTE,POINT Z (-43.89632006960854 -19.8883075071525 0)
C16105,NORDESTE,POINT Z (-43.89320050409625 -19.84034097799106 0)
C16106,NORDESTE,POINT Z (-43.8903454601399 -19.834732705836 0)
C16107,NORDESTE,POINT Z (-43.88931981796792 -19.83301327638088 0)
C16108,NORDESTE,POINT Z (-43.89103365358992 -19.83257559221061 0)
C16110,NORDESTE,POINT Z (-43.89787967359873 -19.84861513028942 0)
C16111,LESTE,POINT Z (-43.89794635142536 -19.89927134284542 0)
C16112,LESTE,POINT Z (-43.898392 -19.897939 0)
C16113,LESTE,POINT Z (-43.90385491648999 -19.89859544659726 0)
C16114,LESTE,POINT Z (-43.91068151335688 -19.89407471089008 0)
C16115,LESTE,POINT Z (-43.90698656534543 -19.89131057842588 0)
C16116,LESTE,POINT Z (-43.90569336224507 -19.8889704057401 0)
C16117,LESTE,POINT Z (-43.90880474923623 -19.8885715622685 0)
C16118,LESTE,POINT Z (-43.90586717824987 -19.88645023697955 0)
C16119,LESTE,POINT Z (-43.90631059920073 -19.88525602674906 0)
C16120,LESTE,POINT Z (-43.90931404139442 -19.88553482962279 0)
C16121,LESTE,POINT Z (-43.9054529629638 -19.895888624193 0)
C16122,LESTE,POINT Z (-43.90790973982929 -19.88334618869044 0)
C16123,LESTE,POINT Z (-43.9086384467668 -19.8802325876338 0)
C16124,LESTE,POINT Z (-43.90917242888823 -19.87752129747613 0)
C16125,LESTE,POINT Z (-43.910839 -19.879578 0)
C16127,LESTE,POINT Z (-43.91433652662808 -19.88200444141084 0)
C16128,LESTE,POINT Z (-43.90124866178664 -19.89509074115114 0)
C16129,NORDESTE,POINT Z (-43.94225236930465 -19.88445632522207 0)
C16130,NORDESTE,POINT Z (-43.94457889363589 -19.88697213122323 0)
C16131,NORDESTE,POINT Z (-43.94852232336452 -19.88478893400955 0)
C16132,NORDESTE,POINT Z (-43.93748179522859 -19.89558297754128 0)
C16133,NORDESTE,POINT Z (-43.9410086384271 -19.89978919545938 0)
C16134,NORDESTE,POINT Z (-43.93581551568813 -19.90205633575603 0)
C16135,NORDESTE,POINT Z (-43.93400120463077 -19.90316562820543 0)
C16136,NORDESTE,POINT Z (-43.93051757008103 -19.89788031084064 0)
C16137,NORDESTE,POINT Z (-43.9343227025721 -19.89829811180514 0)
C16138,NORDESTE,POINT Z (-43.93318720110071 -19.90210789061663 0)
C16139,LESTE,POINT Z (-43.91114211852498 -19.90754182763353 0)
C16140,LESTE,POINT Z (-43.91303201598834 -19.90210039779494 0)
C16141,LESTE,POINT Z (-43.91167585916116 -19.89817296620109 0)
C16143,NORDESTE,POINT Z (-43.93308459506051 -19.88154752235637 0)
C16144,NORDESTE,POINT Z (-43.93247987793592 -19.88284776903992 0)
C16145,NORDESTE,POINT Z (-43.93082305861579 -19.88438940591761 0)
C16146,NORDESTE,POINT Z (-43.93289425736749 -19.88497691499221 0)
C16147,NORDESTE,POINT Z (-43.93463262631662 -19.88332501884444 0)
C16148,NORDESTE,POINT Z (-43.93573097328381 -19.88653345166066 0)
C16150,NORDESTE,POINT Z (-43.93329741102296 -19.87530538674287 0)
C16151,NORDESTE,POINT Z (-43.93743490078602 -19.87453932569957 0)
C16152,NORDESTE,POINT Z (-43.94067647347568 -19.87280202754056 0)
C16153,NORDESTE,POINT Z (-43.9407614592745 -19.87057829163625 0)
C16154,NORDESTE,POINT Z (-43.94265612979085 -19.87162286090297 0)
C16155,NORDESTE,POINT Z (-43.93595672254984 -19.88941513860302 0)
C16156,NORDESTE,POINT Z (-43.93633817497438 -19.89231235765013 0)
C16157,NORDESTE,POINT Z (-43.93624696971057 -19.89408683734714 0)
C16158,NORDESTE,POINT Z (-43.93438433491789 -19.87771336925731 0)
C16159,NORDESTE,POINT Z (-43.93995738972328 -19.87600338276177 0)
C16160,NORDESTE,POINT Z (-43.94610348156579 -19.87363690197312 0)
C16161,NORDESTE,POINT Z (-43.94834668105489 -19.87571286307406 0)
C16162,NORDESTE,POINT Z (-43.9408156958501 -19.8798581282783 0)
C16163,NORDESTE,POINT Z (-43.93567006677232 -19.88071563421556 0)
C16164,NORDESTE,POINT Z (-43.93690170254829 -19.88292615514824 0)
C16165,NORDESTE,POINT Z (-43.9400697868933 -19.88321178685755 0)
C16166,LESTE,POINT Z (-43.91533696828363 -19.90625675391611 0)
C16167,LESTE,POINT Z (-43.91905465222857 -19.90368753037755 0)
C16168,LESTE,POINT Z (-43.92110148887331 -19.90175842587641 0)
C16169,LESTE,POINT Z (-43.91896477669356 -19.89979585260352 0)
C16170,LESTE,POINT Z (-43.92125849036173 -19.89421651894887 0)
C16172,LESTE,POINT Z (-43.924381 -19.906381 0)
C16173,LESTE,POINT Z (-43.92605478795892 -19.90655299952912 0)
C16174,LESTE,POINT Z (-43.92820935691842 -19.90622952099097 0)
C16175,NORDESTE,POINT Z (-43.92388013368876 -19.87230781046351 0)
C16176,NORDESTE,POINT Z (-43.92414446761801 -19.86703294056258 0)
C16177,NORDESTE,POINT Z (-43.92547527049418 -19.8673557030497 0)
C16179,LESTE,POINT Z (-43.92276189464004 -19.9195374202577 0)
C16180,LESTE,POINT Z (-43.92555701165952 -19.91692371326831 0)
C16181,LESTE,POINT Z (-43.92247056182085 -19.91532755980655 0)
C16182,LESTE,POINT Z (-43.91867017294705 -19.91709850786816 0)
C16183,LESTE,POINT Z (-43.91409570859077 -19.91728648355684 0)
C16184,LESTE,POINT Z (-43.9104092410691 -19.91592821898668 0)
C16185,LESTE,POINT Z (-43.91484662847699 -19.90943062982781 0)
C16186,NORDESTE,POINT Z (-43.91881327830013 -19.88225097131008 0)
C16187,NORDESTE,POINT Z (-43.92134239855685 -19.88393419503857 0)
C16188,NORDESTE,POINT Z (-43.92195538321476 -19.88136009218562 0)
C16190,NORDESTE,POINT Z (-43.92702428857926 -19.88186863914737 0)
C22001,CENTRO-SUL,POINT Z (-43.9086667640471 -19.93998500567242 0)
C22002,CENTRO-SUL,POINT Z (-43.91442237789608 -19.9432851632321 0)
C22003,CENTRO-SUL,POINT Z (-43.91270597776234 -19.94048996437359 0)
C22004,CENTRO-SUL,POINT Z (-43.91253231586381 -19.94212311581975 0)
C22005,CENTRO-SUL,POINT Z (-43.9128673630996 -19.93948482309004 0)
C22006,CENTRO-SUL,POINT Z (-43.91401156914653 -19.93821428030105 0)
C22007,CENTRO-SUL,POINT Z (-43.91770249793051 -19.93510472497464 0)
C22008,CENTRO-SUL,POINT Z (-43.92213364512713 -19.94156575670991 0)
C22009,CENTRO-SUL,POINT Z (-43.91981674240321 -19.93901196929998 0)
C22010,CENTRO-SUL,POINT Z (-43.92291095718249 -19.93516006793249 0)
C22011,CENTRO-SUL,POINT Z (-43.92462226011701 -19.9359345592745 0)
C22012,CENTRO-SUL,POINT Z (-43.91769464988335 -19.94622378613896 0)
C22013,CENTRO-SUL,POINT Z (-43.91804914364985 -19.94801268818914 0)
C22014,CENTRO-SUL,POINT Z (-43.9147407305988 -19.93957039223637 0)
C22015,CENTRO-SUL,POINT Z (-43.9171214790721 -19.93765848572451 0)
C22016,CENTRO-SUL,POINT Z (-43.92353584881318 -19.93479442249805 0)
C22017,CENTRO-SUL,POINT Z (-43.92401935406185 -19.94060345345072 0)
C22018,CENTRO-SUL,POINT Z (-43.921997 -19.944292 0)
C22019,CENTRO-SUL,POINT Z (-43.9199493371299 -19.94390908553928 0)
C22020,CENTRO-SUL,POINT Z (-43.91144220085297 -19.93760761444141 0)
C22021,CENTRO-SUL,POINT Z (-43.91033384225425 -19.93958866797832 0)
C22022,CENTRO-SUL,POINT Z (-43.91698513522092 -19.9369537286136 0)
C22024,CENTRO-SUL,POINT Z (-43.90576127422467 -19.93419202768514 0)
C22025,CENTRO-SUL,POINT Z (-43.91138680231616 -19.93793480738814 0)
C22026,CENTRO-SUL,POINT Z (-43.91745833529406 -19.93359840504533 0)
C22027,CENTRO-SUL,POINT Z (-43.92469686867906 -19.93425301793811 0)
C22028,CENTRO-SUL,POINT Z (-43.91272243261102 -19.94090218075065 0)
C22029,CENTRO-SUL,POINT Z (-43.91075830830468 -19.94161952916428 0)
C22030,CENTRO-SUL,POINT Z (-43.91984641429946 -19.94945597331764 0)
C22031,CENTRO-SUL,POINT Z (-43.91402612356778 -19.95748364454054 0)
C22032,CENTRO-SUL,POINT Z (-43.91521917557709 -19.95610068263008 0)
C22033,CENTRO-SUL,POINT Z (-43.91431096599521 -19.95830505960712 0)
C22036,CENTRO-SUL,POINT Z (-43.91464345393118 -19.93830692632871 0)
C22037,CENTRO-SUL,POINT Z (-43.91826101632843 -19.93733872366416 0)
C22038,CENTRO-SUL,POINT Z (-43.90757872358881 -19.93137173155215 0)
C22039,CENTRO-SUL,POINT Z (-43.915416526817 -19.93194345622062 0)
C22040,CENTRO-SUL,POINT Z (-43.9243 -19.93175805101619 0)
C22041,CENTRO-SUL,POINT Z (-43.91825279792016 -19.93311680836642 0)
C22042,CENTRO-SUL,POINT Z (-43.91943482056854 -19.93037638952779 0)
C22043,CENTRO-SUL,POINT Z (-43.91660444467019 -19.93052032202599 0)
C22044,CENTRO-SUL,POINT Z (-43.91834547213936 -19.92826749675335 0)
C22045,CENTRO-SUL,POINT Z (-43.9062052315383 -19.93503489230159 0)
C22046,CENTRO-SUL,POINT Z (-43.91425559883394 -19.93086221842109 0)
C22047,CENTRO-SUL,POINT Z (-43.92881185579375 -19.96030098760714 0)
C22048,CENTRO-SUL,POINT Z (-43.93081587787351 -19.95750583968888 0)
C22049,CENTRO-SUL,POINT Z (-43.9336520836028 -19.95712562074142 0)
C22050,CENTRO-SUL,POINT Z (-43.91514105397444 -19.94365522575974 0)
C22051,CENTRO-SUL,POINT Z (-43.9107407847729 -19.9437420118603 0)
C22052,CENTRO-SUL,POINT Z (-43.922421225039 -19.94497570079522 0)
C22053,CENTRO-SUL,POINT Z (-43.91543262531744 -19.94178147461161 0)
C22054,CENTRO-SUL,POINT Z (-43.91799659789526 -19.93002466960843 0)
C22055,CENTRO-SUL,POINT Z (-43.91856487714716 -19.92899169718768 0)
C22056,CENTRO-SUL,POINT Z (-43.92565357331421 -19.9389870589941 0)
C22057,CENTRO-SUL,POINT Z (-43.92579105437477 -19.93975182096044 0)
C22058,CENTRO-SUL,POINT Z (-43.93231946858197 -19.95086207755315 0)
C22059,CENTRO-SUL,POINT Z (-43.9203562781001 -19.95570283430891 0)
C22060,CENTRO-SUL,POINT Z (-43.92260236167683 -19.95235055940766 0)
C22061,CENTRO-SUL,POINT Z (-43.91839306327525 -19.93156266330531 0)
C22062,CENTRO-SUL,POINT Z (-43.90881799704935 -19.92956476054921 0)
C22063,CENTRO-SUL,POINT Z (-43.91933817635581 -19.93516085923872 0)
C22064,CENTRO-SUL,POINT Z (-43.91594605587444 -19.93438016069425 0)
C22065,CENTRO-SUL,POINT Z (-43.94137649751576 -19.95765265747776 0)
C22066,CENTRO-SUL,POINT Z (-43.93941567656374 -19.96164250116157 0)
C22067,CENTRO-SUL,POINT Z (-43.93494674869535 -19.96752774488889 0)
C22068,CENTRO-SUL,POINT Z (-43.9352041207134 -19.97376231539184 0)
C22069,CENTRO-SUL,POINT Z (-43.94058400496139 -19.97429850618774 0)
C22070,CENTRO-SUL,POINT Z (-43.94247759873122 -19.97488399125191 0)
C22071,CENTRO-SUL,POINT Z (-43.94223841381863 -19.97007129817682 0)
C22072,CENTRO-SUL,POINT Z (-43.94455674081087 -19.97121847384918 0)
C22073,CENTRO-SUL,POINT Z (-43.95377434181304 -19.94101429577621 0)
C22074,CENTRO-SUL,POINT Z (-43.95121072091404 -19.94555783965133 0)
C22075,CENTRO-SUL,POINT Z (-43.95755528330928 -19.94555077705496 0)
C22076,OESTE,POINT Z (-43.96119021869283 -19.95069205426571 0)
C22077,CENTRO-SUL,POINT Z (-43.95928753788652 -19.95127283450894 0)
C22078,CENTRO-SUL,POINT Z (-43.93517015942674 -19.94745238816143 0)
C22079,CENTRO-SUL,POINT Z (-43.93433835216796 -19.94897471729385 0)
C22080,CENTRO-SUL,POINT Z (-43.9327722584114 -19.95244426360858 0)
C22081,CENTRO-SUL,POINT Z (-43.93107809581502 -19.953754862831 0)
C22082,CENTRO-SUL,POINT Z (-43.93718203111557 -19.95409155233859 0)
C22083,CENTRO-SUL,POINT Z (-43.93794142742853 -19.95186654524339 0)
C22084,CENTRO-SUL,POINT Z (-43.93994023786442 -19.95500690936489 0)
C22085,CENTRO-SUL,POINT Z (-43.94587005222917 -19.95880424146094 0)
C22086,CENTRO-SUL,POINT Z (-43.94491841427106 -19.96140832329179 0)
C22087,CENTRO-SUL,POINT Z (-43.94386145347669 -19.96731895573852 0)
C22088,OESTE,POINT Z (-43.94682221504646 -19.97459775265827 0)
C22089 (C05902),CENTRO-SUL,POINT Z (-43.948861 -19.971908 0)
C22090 (C05903),OESTE,POINT Z (-43.9544346856941 -19.96867394004987 0)
C22091,CENTRO-SUL,POINT Z (-43.95148663900311 -19.96732220583419 0)
C22092,CENTRO-SUL,POINT Z (-43.9493937404932 -19.9648647791168 0)
C22093,CENTRO-SUL,POINT Z (-43.95004149837626 -19.96194491352196 0)
C22094 (C05904),CENTRO-SUL,POINT Z (-43.95701663990072 -19.95838972528871 0)
C22095,CENTRO-SUL,POINT Z (-43.95027740021541 -19.95388528111225 0)
C22096 (C22034),CENTRO-SUL,POINT Z (-43.94758458668296 -19.9512488271208 0)
C22097,LESTE,POINT Z (-43.89249355144315 -19.91539477282716 0)
C22098,LESTE,POINT Z (-43.89535444287588 -19.90511763752237 0)
C22099,LESTE,POINT Z (-43.89823850826102 -19.90516232889889 0)
C22100,LESTE,POINT Z (-43.89413002719967 -19.91026930169232 0)
C22101,LESTE,POINT Z (-43.8966824671544 -19.91218318778248 0)
C22102,LESTE,POINT Z (-43.8932147396942 -19.91813035794422 0)
C22103,LESTE,POINT Z (-43.8960532742953 -19.91059602187664 0)
C22104,LESTE,POINT Z (-43.90007790008884 -19.91145047259938 0)
C34101,NOROESTE,POINT Z (-44.00214745359812 -19.91203196201835 0)
C34102,NOROESTE,POINT Z (-44.00363260374761 -19.90946569392797 0)
C34103,NOROESTE,POINT Z (-44.00241579189594 -19.90848400989865 0)
C34104,NOROESTE,POINT Z (-44.003589 -19.906783 0)
C34105,NOROESTE,POINT Z (-44.00612302749952 -19.904204063925 0)
C34106,NOROESTE,POINT Z (-44.007664 -19.899053 0)
C34107,NOROESTE,POINT Z (-44.017758 -19.907808 0)
C34108,NOROESTE,POINT Z (-44.021806 -19.911992 0)
C34109,NOROESTE,POINT Z (-44.019789 -19.902811 0)
C34110,NOROESTE,POINT Z (-43.99839159629087 -19.9087417096776 0)
C34111,NOROESTE,POINT Z (-43.99986280382708 -19.90579118134973 0)
C34112,NOROESTE,POINT Z (-44.00362209771329 -19.90317403094325 0)
C34113,PAMPULHA,POINT Z (-44.00444924761268 -19.90131203258514 0)
C34114,NOROESTE,POINT Z (-44.00553697158134 -19.8992634605927 0)
C34115,NOROESTE,POINT Z (-44.01016172249795 -19.89487993851207 0)
C34116,PAMPULHA,POINT Z (-44.012697 -19.889317 0)
C34117,NOROESTE,POINT Z (-44.01393280781398 -19.89110518564516 0)
C34118,PAMPULHA,POINT Z (-44.01212521058058 -19.88377088374133 0)
C34119,PAMPULHA,POINT Z (-44.01151743809261 -19.88060139234913 0)
C34120,NOROESTE,POINT Z (-44.00565772643264 -19.92251542600004 0)
C34121,NOROESTE,POINT Z (-44.00585815010329 -19.9241674947027 0)
C34132,NOROESTE,POINT Z (-43.98539135026012 -19.92129734078463 0)
C34201,NOROESTE,POINT Z (-43.97139761444588 -19.91526459361217 0)
C34202,NOROESTE,POINT Z (-43.97438490227067 -19.91510455697525 0)
C34203,NOROESTE,POINT Z (-43.97554328726331 -19.91605154630996 0)
C34204,NOROESTE,POINT Z (-43.9765812209267 -19.91494606239918 0)
C34205,NOROESTE,POINT Z (-43.97869627276022 -19.91487694561375 0)
C34206,NOROESTE,POINT Z (-43.98072673194906 -19.91492574970288 0)
C34207,NOROESTE,POINT Z (-43.98811345218434 -19.91432810376503 0)
C34208,NOROESTE,POINT Z (-43.9892733850848 -19.91417205865509 0)
C34209,NOROESTE,POINT Z (-43.99180927668353 -19.9138157188878 0)
C34210,NOROESTE,POINT Z (-43.98751094925789 -19.9269229758354 0)
C34211,NOROESTE,POINT Z (-43.98965999918497 -19.92576476695392 0)
C34212,NOROESTE,POINT Z (-43.99187096881672 -19.92666072672872 0)
C34213,NOROESTE,POINT Z (-43.99321932243717 -19.92639585383453 0)
C34214,NOROESTE,POINT Z (-43.99773221537494 -19.92542523321261 0)
C34215,NOROESTE,POINT Z (-43.99141566994984 -19.92439327558138 0)
C34216,NOROESTE,POINT Z (-43.99608273208889 -19.92338284915062 0)
C34217,NOROESTE,POINT Z (-43.98711127293369 -19.91960715879349 0)
C34219,NOROESTE,POINT Z (-43.97744053790738 -19.90369686553211 0)
C34220,NOROESTE,POINT Z (-43.9774017038226 -19.90652025760541 0)
C34221,NOROESTE,POINT Z (-43.96966016387277 -19.90634263710618 0)
C34222,NOROESTE,POINT Z (-43.970719 -19.901042 0)
C34223,NOROESTE,POINT Z (-43.97666299912236 -19.91899270899722 0)
C34224,NOROESTE,POINT Z (-43.97995370835282 -19.92091081492627 0)
C34225,NOROESTE,POINT Z (-43.96410015295975 -19.91191016625377 0)
C34226,NOROESTE,POINT Z (-43.96074718624841 -19.91202733601168 0)
C34227,NOROESTE,POINT Z (-43.95385 -19.915094 0)
C34228,NOROESTE,POINT Z (-43.94875924232782 -19.91666573144784 0)
C34229,NOROESTE,POINT Z (-43.952231 -19.914222 0)
C34230,NOROESTE,POINT Z (-43.95738661623751 -19.90911342353356 0)
C34231,NOROESTE,POINT Z (-43.97387357048301 -19.91253010027086 0)
C34232,NOROESTE,POINT Z (-43.98200915566113 -19.91048291110622 0)
C34233,PAMPULHA,POINT Z (-43.98753760463081 -19.90457090760195 0)
C34234,NOROESTE,POINT Z (-43.96633153975295 -19.89109982281592 0)
C34235,NOROESTE,POINT Z (-43.96245643219368 -19.90844842169025 0)
C34236,NOROESTE,POINT Z (-43.99363842095654 -19.91350719305958 0)
C34301,PAMPULHA,POINT Z (-43.97178676754131 -19.86936988156342 0)
C34302,PAMPULHA,POINT Z (-43.97271272074128 -19.86694178221833 0)
C34303,PAMPULHA,POINT Z (-43.97362020269169 -19.86406256981832 0)
C34304,PAMPULHA,POINT Z (-43.97126497746738 -19.8631157662995 0)
C34305,PAMPULHA,POINT Z (-43.97036854312923 -19.86296685732432 0)
C34306,PAMPULHA,POINT Z (-43.97002511455985 -19.86392363669379 0)
C34307,PAMPULHA,POINT Z (-43.96955986873955 -19.86518602036788 0)
C34308,PAMPULHA,POINT Z (-43.96892891464346 -19.86777457095955 0)
C34309,PAMPULHA,POINT Z (-43.96941928450921 -19.86282320078881 0)
C34310,PAMPULHA,POINT Z (-43.9743618989212 -19.86278667080287 0)
C34311,PAMPULHA,POINT Z (-43.975192 -19.860719 0)
C34312,PAMPULHA,POINT Z (-43.97278080030465 -19.86065856508828 0)
C34313,PAMPULHA,POINT Z (-43.97134100698229 -19.86106537588465 0)
C34314,PAMPULHA,POINT Z (-43.96775230270301 -19.86208254472692 0)
C34315,PAMPULHA,POINT Z (-43.9661883695903 -19.86154589616305 0)
C34316,PAMPULHA,POINT Z (-43.96382426217697 -19.86091462060274 0)
C34317,PAMPULHA,POINT Z (-43.96241294156966 -19.86013473859662 0)
C34318,PAMPULHA,POINT Z (-43.9596127152639 -19.85941636848187 0)
C34319,PAMPULHA,POINT Z (-43.95801914473996 -19.86299232502811 0)
C34320 (C13904),PAMPULHA,POINT Z (-43.95456169454013 -19.87161201718137 0)
C34323,PAMPULHA,POINT Z (-43.97631435236339 -19.86535099341564 0)
C34324,PAMPULHA,POINT Z (-43.97592843387967 -19.86755975514085 0)
