origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
SGO;2020-01-01 06:54:00;JANEIRO/2020;01/2020;RUA PARACATU 244, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.9342232 -19.92708557)
SGO;2020-01-01 06:58:00;JANEIRO/2020;01/2020;RUA DOS TIMBIRAS 1200, CENTRO;CENTRO-SUL;2020;POINT (-43.99301856 -19.95709908)
SGO;2020-01-01 18:10:00;JANEIRO/2020;01/2020;RUA PLATINA 1077, CALAFATE;OESTE;2020;POINT (-43.93108793 -19.93241391)
SGO;2020-01-01 20:02:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 1628, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.93706946 -19.91962094)
SGO;2020-01-02 11:47:00;JANEIRO/2020;01/2020;AVENIDA AMAZONAS 1032, CENTRO;CENTRO-SUL;2020;POINT (-43.9395412088785 -19.9169608080217)
SGO;2020-01-03 05:27:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 1628, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.93936745 -19.9174419)
SGO;2020-01-05 17:11:00;JANEIRO/2020;01/2020;RUA OURO PRETO 141, CENTRO;CENTRO-SUL;2020;POINT (-43.92996707 -19.93357161)
SGO;2020-01-07 05:12:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 1570, CENTRO;CENTRO-SUL;2020;POINT (-43.94462064 -19.91646273)
SGO;2020-01-07 05:13:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 1998, CENTRO;CENTRO-SUL;2020;POINT (-43.9885289840123 -19.9426388960623)
SGO;2020-01-07 05:14:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 2148, CENTRO;CENTRO-SUL;2020;POINT (-43.9386018368085 -19.9184322052386)
SGO;2020-01-07 05:41:00;JANEIRO/2020;01/2020;AVENIDA AFONSO PENA 514, CENTRO;CENTRO-SUL;2020;POINT (-43.9314004 -19.93427457)
SGO;2020-01-07 15:45:00;JANEIRO/2020;01/2020;RUA JOSAFA BELO 374, CIDADE JARDIM;CENTRO-SUL;2020;POINT (-43.93108793 -19.93241391)
SGO;2020-01-08 05:38:00;JANEIRO/2020;01/2020;AVENIDA AFONSO PENA 514, CENTRO;CENTRO-SUL;2020;POINT (-44.03743729 -19.98603612)
SGO;2020-01-08 07:17:00;JANEIRO/2020;01/2020;AVENIDA ALVARES CABRAL 440, LOURDES;CENTRO-SUL;2020;POINT (-43.92198358 -19.85207471)
SGO;2020-01-08 16:54:00;JANEIRO/2020;01/2020;RUA DOS TIMBIRAS 1560, CENTRO;CENTRO-SUL;2020;POINT (-44.03367521 -19.99390705)
SGO;2020-01-08 19:12:00;JANEIRO/2020;01/2020;AVENIDA AUGUSTO DE LIMA 407, CENTRO;CENTRO-SUL;2020;POINT (-43.92996707 -19.93357161)
SGO;2020-01-08 22:42:00;JANEIRO/2020;01/2020;AVENIDA AFONSO PENA 514, CENTRO;CENTRO-SUL;2020;POINT (-43.93112925 -19.93547732)
SGO;2020-01-09 05:38:00;JANEIRO/2020;01/2020;AVENIDA AMAZONAS 1032, CENTRO;CENTRO-SUL;2020;POINT (-44.0387801731524 -19.9870231584943)
SGO;2020-01-09 05:43:00;JANEIRO/2020;01/2020;AVENIDA TERESA CRISTINA 9010, CINQUENTENARIO;OESTE;2020;POINT (-43.92996707 -19.93357161)
SGO;2020-01-09 06:48:00;JANEIRO/2020;01/2020;AVENIDA TERESA CRISTINA 9000, BETANIA;OESTE;2020;POINT (-44.03743729 -19.98603612)
SGO;2020-01-19 09:12:00;JANEIRO/2020;01/2020;AVENIDA FRANCISCO SALES 780, SANTA EFIGENIA;CENTRO-SUL;2020;POINT (-44.0298866958551 -19.9815532629959)
SGO;2020-01-28 07:14:00;MARCO/2020;01/2020;RUA PLATINA 1077, CALAFATE;OESTE;2020;POINT (-43.9220246343651 -19.8528472276539)
SGO;2020-02-02 15:35:00;FEVEREIRO/2020;01/2020;RUA ENGENHEIRO FELIPE CALDAS 5855, GAMELEIRA;OESTE;2020;POINT (-44.0298867 -19.98155326)
SGO;2020-02-03 06:06:00;FEVEREIRO/2020;01/2020;AVENIDA DOS ANDRADAS 869, CENTRO;CENTRO-SUL;2020;POINT (-43.99301856 -19.95709908)
SGO;2020-02-03 20:56:00;FEVEREIRO/2020;01/2020;AVENIDA SARAMENHA 765, TUPI A;NORTE;2020;POINT (-43.93216442 -19.92892206)
SGO;2020-02-04 04:02:00;FEVEREIRO/2020;01/2020;RUA ANTONIO FERREIRA DA CRUZ 225, PARQUE SAO PEDRO;VENDA NOVA;2020;POINT (-43.93724773 -19.94007833)
SGO;2020-02-05 05:39:00;FEVEREIRO/2020;01/2020;AVENIDA DO CONTORNO 9716, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.9410211033457 -19.939185654019)
SGO;2020-02-11 05:44:00;FEVEREIRO/2020;01/2020;AVENIDA PRESIDENTE ANTONIO CARLOS 2222, CACHOEIRINHA;NORDESTE;2020;POINT (-43.9342232 -19.92708557)
SGO;2020-02-12 05:39:00;FEVEREIRO/2020;01/2020;AVENIDA RAJA GABAGLIA 475, CIDADE JARDIM;CENTRO-SUL;2020;POINT (-43.99980521 -19.95963559)
SGO;2020-02-15 08:10:00;FEVEREIRO/2020;01/2020;AVENIDA DOS ANDRADAS 869, CENTRO;CENTRO-SUL;2020;POINT (-43.92996707 -19.93357161)
SGO;2020-02-20 05:50:00;FEVEREIRO/2020;01/2020;AVENIDA FRANCISCO SALES 1586, SANTA EFIGENIA;CENTRO-SUL;2020;POINT (-43.9692657 -19.94815614)
SGO;2020-02-22 04:26:00;FEVEREIRO/2020;01/2020;RUA RIO GRANDE DO SUL 1531, SANTO AGOSTINHO;CENTRO-SUL;2020;POINT (-43.96073553 -19.8124108)
SGO;2020-02-22 05:45:00;FEVEREIRO/2020;01/2020;AVENIDA BIAS FORTES 50, SAVASSI;CENTRO-SUL;2020;POINT (-43.95181231 -19.82077343)
SGO;2020-02-24 12:21:00;FEVEREIRO/2020;01/2020;AVENIDA GETULIO VARGAS 912, SAVASSI;CENTRO-SUL;2020;POINT (-43.97884155 -19.94455881)
SGO;2020-02-26 04:52:00;FEVEREIRO/2020;01/2020;AVENIDA AFONSO PENA 1711, CENTRO;CENTRO-SUL;2020;POINT (-43.9459544287106 -19.8225644175218)
SGO;2020-02-26 07:43:00;FEVEREIRO/2020;01/2020;AVENIDA DOS ANDRADAS 869, CENTRO;CENTRO-SUL;2020;POINT (-43.93216442 -19.92892206)
SGO;2020-02-26 08:58:00;FEVEREIRO/2020;01/2020;AVENIDA DO CONTORNO 30, CENTRO;CENTRO-SUL;2020;POINT (-43.9408778984942 -19.9161431813724)
SGO;2020-02-27 05:43:00;FEVEREIRO/2020;01/2020;AVENIDA DOS ANDRADAS 877, CENTRO;CENTRO-SUL;2020;POINT (-43.97836522 -19.81949492)
SGO;2020-02-27 05:45:00;FEVEREIRO/2020;01/2020;RUA RIO GRANDE DO SUL 1531, SANTO AGOSTINHO;CENTRO-SUL;2020;POINT (-43.93796141 -19.91896798)
SGO;2020-02-27 05:46:00;FEVEREIRO/2020;01/2020;RUA FELIPE DOS SANTOS 591, LOURDES;CENTRO-SUL;2020;POINT (-43.95279694 -19.82353256)
SGO;2020-02-27 16:53:00;FEVEREIRO/2020;01/2020;RUA IMPERIAL 805, SAO SALVADOR;NOROESTE;2020;POINT (-43.9479182796197 -19.8968261161825)
SGO;2020-02-28 06:26:00;FEVEREIRO/2020;01/2020;RUA FELIPE DOS SANTOS 591, LOURDES;CENTRO-SUL;2020;POINT (-43.97909067 -19.94489359)
SGO;2020-03-01 07:47:00;MARCO/2020;01/2020;RUA SANTA CATARINA 1522, LOURDES;CENTRO-SUL;2020;POINT (-43.93317263 -19.94392649)
SGO;2020-03-01 07:47:00;MARCO/2020;01/2020;RUA SANTA CATARINA 1515, LOURDES;CENTRO-SUL;2020;POINT (-43.94382531 -19.91687291)
SGO;2020-03-07 09:11:00;MARCO/2020;01/2020;AVENIDA RAJA GABAGLIA 2000, ALPES;OESTE;2020;POINT (-43.97458225 -19.93088666)
SGO;2020-03-10 05:40:00;MARCO/2020;01/2020;AVENIDA PROFESSOR ALFREDO BALENA 596, SANTA EFIGENIA;CENTRO-SUL;2020;POINT (-43.910785918523 -19.9198477748656)
SGO;2020-03-11 05:44:00;MARCO/2020;01/2020;RUA ANTONIO ALEIXO 529, LOURDES;CENTRO-SUL;2020;POINT (-43.91035975 -19.91945382)
SGO;2020-03-11 22:24:00;MARCO/2020;01/2020;AVENIDA RAJA GABAGLIA 475, CIDADE JARDIM;CENTRO-SUL;2020;POINT (-43.97322192 -19.92918415)
SGO;2020-03-12 07:42:00;MARCO/2020;01/2020;RUA MARILIA DE DIRCEU 35, LOURDES;CENTRO-SUL;2020;POINT (-43.92243724 -19.93934988)
SGO;2020-03-12 11:34:00;MARCO/2020;01/2020;RUA ALAGOAS 293, BOA VIAGEM;CENTRO-SUL;2020;POINT (-43.98534273 -19.93062845)
SGO;2020-03-13 06:19:00;MARCO/2020;01/2020;RUA MARILIA DE DIRCEU 35, LOURDES;CENTRO-SUL;2020;POINT (-43.98137954 -19.93027269)
SGO;2020-03-13 08:58:00;MARCO/2020;01/2020;AVENIDA PRESIDENTE ANTONIO CARLOS 3685, VILA MALOCA;NOROESTE;2020;POINT (-43.9692657 -19.94815614)
SGO;2020-03-13 09:34:00;MARCO/2020;01/2020;RUA MONTE ALEGRE 287, SERRA;CENTRO-SUL;2020;POINT (-43.98024763 -19.92805264)
SGO;2020-03-13 21:21:00;MARCO/2020;01/2020;AVENIDA PARANA 108, CENTRO;CENTRO-SUL;2020;POINT (-43.97458225 -19.93088666)
SGO;2020-03-14 09:19:00;MARCO/2020;01/2020;RUA FELIPE DOS SANTOS 172, LOURDES;CENTRO-SUL;2020;POINT (-43.9640323 -19.94268072)
SGO;2020-03-16 07:25:00;MARCO/2020;01/2020;AVENIDA RAJA GABAGLIA 2000, ALPES;OESTE;2020;POINT (-43.93285815 -19.92780098)
SGO;2020-03-16 18:14:00;MARCO/2020;01/2020;RUA SANTA CATARINA 1367, LOURDES;CENTRO-SUL;2020;POINT (-43.9822953389666 -19.92904120525)
SGO;2020-03-17 08:26:00;MARCO/2020;01/2020;RUA PASTOR SALATIEL 15, HELIOPOLIS;NORTE;2020;POINT (-43.98249614 -19.95116221)
SGO;2020-03-18 06:17:00;MARCO/2020;01/2020;RUA SANTA CATARINA 1515, LOURDES;CENTRO-SUL;2020;POINT (-43.9407393299454 -19.9139430011443)
SGO;2020-03-18 10:32:00;MARCO/2020;01/2020;AVENIDA CRISTIANO MACHADO 5600, SAO GABRIEL;NORDESTE;2020;POINT (-44.0298867 -19.98155326)
SGO;2020-03-20 08:44:00;MARCO/2020;01/2020;RUA ANTONIO ALEIXO 650, LOURDES;CENTRO-SUL;2020;POINT (-43.99301856 -19.95709908)
SGO;2020-03-21 17:43:00;MARCO/2020;01/2020;RUA MAIA LARCEDA 37, HORTO;LESTE;2020;POINT (-43.99468381 -19.95862856)
SGO;2020-03-22 08:11:00;MARCO/2020;01/2020;RUA SANTA CATARINA 1515, LOURDES;CENTRO-SUL;2020;POINT (-43.92243724 -19.93934988)
SGO;2020-03-23 13:35:00;MARCO/2020;01/2020;AVENIDA DO CONTORNO 8485, GUTIERREZ;OESTE;2020;POINT (-43.98575718 -19.93911352)
SGO;2020-03-25 07:04:00;MARCO/2020;01/2020;AVENIDA BARBACENA 139, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.98228337 -19.93045584)
SGO;2020-03-25 15:29:00;MARCO/2020;01/2020;RUA BERNARDO GUIMARAES 1890, LOURDES;CENTRO-SUL;2020;POINT (-43.9824961359229 -19.9511622077055)
SGO;2020-03-27 06:25:00;MARCO/2020;01/2020;AVENIDA CARANDAI 1115, FUNCIONARIOS;CENTRO-SUL;2020;POINT (-43.98249614 -19.95116221)
SGO;2020-03-27 16:40:00;MARCO/2020;01/2020;RUA ALAGOAS 293, BOA VIAGEM;CENTRO-SUL;2020;POINT (-43.9827904414395 -19.9499804598212)
SGO;2020-03-29 11:50:00;MARCO/2020;01/2020;RUA DOS TIMBIRAS 521, FUNCIONARIOS;CENTRO-SUL;2020;POINT (-43.98405035 -19.94975993)
SGO;2020-03-29 21:37:00;MARCO/2020;01/2020;RUA ARAGUARI 533, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.9718995680131 -19.935068125654)
SGO;2020-03-30 07:12:00;MARCO/2020;01/2020;AVENIDA DO CONTORNO 8485, GUTIERREZ;OESTE;2020;POINT (-43.93416527 -19.93757956)
SGO;2020-03-30 07:17:00;MARCO/2020;01/2020;AVENIDA DO CONTORNO 9494, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.93749996 -19.9204977)
SGO;2020-04-02 06:49:00;ABRIL/2020;02/2020;AVENIDA DO CONTORNO 1116, CENTRO;CENTRO-SUL;2020;POINT (-43.9266928532818 -19.9388652398914)
SGO;2020-04-02 07:13:00;ABRIL/2020;02/2020;AVENIDA DO CONTORNO 9494, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.93287836 -19.93769704)
SGO;2020-04-02 07:43:00;ABRIL/2020;02/2020;AVENIDA DO CONTORNO 8485, GUTIERREZ;OESTE;2020;POINT (-43.93416527 -19.93757956)
SGO;2020-04-02 10:48:00;ABRIL/2020;02/2020;AVENIDA BIAS FORTES 918, LOURDES;CENTRO-SUL;2020;POINT (-43.93240483 -19.93737431)
SGO;2020-04-02 13:12:00;ABRIL/2020;02/2020;AVENIDA CARANDAI 1115, FUNCIONARIOS;CENTRO-SUL;2020;POINT (-43.9946838052827 -19.95862856152)
SGO;2020-04-04 14:22:00;ABRIL/2020;02/2020;RUA ARAGUARI 315, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.98405035 -19.94975993)
SGO;2020-04-07 21:31:00;ABRIL/2020;02/2020;AVENIDA AMAZONAS 3560, PRADO;OESTE;2020;POINT (-43.97752506 -19.92759605)
SGO;2020-04-08 07:38:00;ABRIL/2020;02/2020;AVENIDA AMAZONAS 3866, PRADO;OESTE;2020;POINT (-43.9302756341419 -19.9332140183794)
SGO;2020-04-08 08:34:00;ABRIL/2020;02/2020;AVENIDA DO CONTORNO 8485, GUTIERREZ;OESTE;2020;POINT (-43.93135738 -19.93708787)
SGO;2020-04-09 22:03:00;ABRIL/2020;02/2020;AVENIDA TERESA CRISTINA 3825, CALAFATE;OESTE;2020;POINT (-43.9946838052827 -19.95862856152)
SGO;2020-04-13 08:53:00;ABRIL/2020;02/2020;RUA ALAGOAS 293, BOA VIAGEM;CENTRO-SUL;2020;POINT (-43.9939713830696 -19.9576345944036)
SGO;2020-04-14 07:12:00;ABRIL/2020;02/2020;RUA CONDE DE LINHARES 240, CIDADE JARDIM;CENTRO-SUL;2020;POINT (-43.98405035 -19.94975993)
SGO;2020-04-14 07:18:00;ABRIL/2020;02/2020;RUA ARAGUARI 592, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.92834128 -19.93967793)
SGO;2020-04-14 07:21:00;ABRIL/2020;02/2020;RUA DOS GUAJAJARAS 1722, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.99301856 -19.95709908)
SGO;2020-04-15 07:08:00;ABRIL/2020;02/2020;RUA ESPIRITO SANTO 263, CENTRO;CENTRO-SUL;2020;POINT (-43.9307385374156 -19.9398458580412)
SGO;2020-04-15 09:48:00;ABRIL/2020;02/2020;RUA ARAGUARI 511, BARRO PRETO;CENTRO-SUL;2020;POINT (-43.93156768 -19.93812703)
SGO;2020-04-15 18:50:00;ABRIL/2020;02/2020;RUA DA BAHIA 1360, LOURDES;CENTRO-SUL;2020;POINT (-43.9831001050363 -19.9506444145768)
SGO;2020-04-16 18:00:00;ABRIL/2020;02/2020;RUA DOS TUPINAMBAS 115, CENTRO;CENTRO-SUL;2020;POINT (-43.9312301296549 -19.9380842548202)
SGO;2020-04-18 06:32:00;ABRIL/2020;02/2020;AVENIDA DO CONTORNO 8485, GUTIERREZ;OESTE;2020;POINT (-44.01185166 -19.9777385)
SGO;2020-04-18 07:54:00;ABRIL/2020;02/2020;AVENIDA PRESIDENTE ANTONIO CARLOS 705, LAGOINHA;NOROESTE;2020;POINT (-44.0116728427448 -19.9781809816077)
SGO;2020-04-20 10:27:00;ABRIL/2020;02/2020;RUA DOS CAETES 541, CENTRO;CENTRO-SUL;2020;POINT (-44.0131969092425 -19.9732783786658)
SGO;2020-04-21 10:21:00;ABRIL/2020;02/2020;RUA RIO POMBA 822, PADRE EUSTAQUIO;NOROESTE;2020;POINT (-43.9805721020989 -19.7995612083285)
