origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
SGO;2022-01-01 09:29:00;JANEIRO/2022;01/2022;RUA DOS TUPIS 933, CENTRO;CENTRO-SUL;2022;POINT (-44.01631143 -19.97909932)
SGO;2022-01-01 14:45:00;JANEIRO/2022;01/2022;RUA PROFESSOR MORAES 455, SAVASSI;CENTRO-SUL;2022;POINT (-43.9957932 -19.93819705)
SGO;2022-01-01 21:41:00;JANEIRO/2022;01/2022;RUA DOS TUPIS 933, CENTRO;CENTRO-SUL;2022;POINT (-43.98405035 -19.94975993)
SGO;2022-01-02 07:30:00;JANEIRO/2022;01/2022;RUA PARACATU 10, BARRO PRETO;CENTRO-SUL;2022;POINT (-43.9504 -19.8613)
OI;2022-01-03 00:00:00;JANEIRO/2022;01/2022;RUA JOSE JORGE FONTE BOA 290, HAVAI;OESTE;2022;POINT (-43.93743146 -19.87659065)
OI;2022-01-03 00:00:00;JANEIRO/2022;01/2022;RUA JOSE JORGE FONTE BOA 290, HAVAI;OESTE;2022;POINT (-43.91940768 -19.85604203)
SGO;2022-01-03 08:40:00;JANEIRO/2022;01/2022;RUA ARAGUARI 108, BARRO PRETO;CENTRO-SUL;2022;POINT (-43.9499 -19.8658)
SICOP;2022-01-03 09:18:00;JANEIRO/2022;01/2022;AVENIDA DO CONTORNO 10555, Carlos Prates;CENTRO-SUL;2022;POINT (-43.9464145790264 -19.917800521928)
SGO;2022-01-03 09:24:00;JANEIRO/2022;01/2022;AVENIDA DO CONTORNO 10555, CARLOS PRATES;CENTRO-SUL;2022;POINT (-43.9682958012985 -19.8421666261099)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ROSEMBERG SILVA 29, GOIANIA;NORDESTE;2022;POINT (-43.91940768 -19.85604203)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ALCINA LIMA DRUMMOND 70, DIAMANTE;BARREIRO;2022;POINT (-43.94577658 -19.8763922)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK 3001, CALAFATE;OESTE;2022;POINT (-43.94577658 -19.8763922)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA DOM VICOSO 467, PADRE EUSTAQUIO;NOROESTE;2022;POINT (-44.00971086 -19.99605382)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA PAULO TIMOTEO NASCIMENTO 582, SANTA CRUZ;NORDESTE;2022;POINT (-44.00971086 -19.99605382)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ARTUR DE SA 566, UNIAO;NORDESTE;2022;POINT (-44.04208603 -19.98805283)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ROSEMBERG SILVA 29, GOIANIA;NORDESTE;2022;POINT (-44.04208603 -19.98805283)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ARTUR DE SA 566, UNIAO;NORDESTE;2022;POINT (-43.93201538 -19.92085167)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA PAULO TIMOTEO NASCIMENTO 582, SANTA CRUZ;NORDESTE;2022;POINT (-43.93201538 -19.92085167)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA DOM VICOSO 467, PADRE EUSTAQUIO;NOROESTE;2022;POINT (-43.93272745 -19.91331591)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;RUA ALCINA LIMA DRUMMOND 70, DIAMANTE;BARREIRO;2022;POINT (-43.91830182 -19.85547695)
OI;2022-01-04 00:00:00;JANEIRO/2022;01/2022;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK 3001, CALAFATE;OESTE;2022;POINT (-43.93272745 -19.91331591)
SGO;2022-01-04 05:56:00;JANEIRO/2022;01/2022;AVENIDA TERESA CRISTINA 10185, SANTA MARGARIDA;BARREIRO;2022;POINT (-44.03463497 -19.99670051)
SGO;2022-01-04 06:16:00;JANEIRO/2022;01/2022;AVENIDA DO CONTORNO 10555, CARLOS PRATES;CENTRO-SUL;2022;POINT (-43.97211069 -19.81333752)
SGO;2022-01-04 08:38:00;JANEIRO/2022;01/2022;RUA DOS GOITACAZES 1232, BARRO PRETO;CENTRO-SUL;2022;POINT (-43.94287509 -19.89385464)
