origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
SGO;2019-01-01 07:40:58;JANEIRO/2019;01/2019;AVENIDA SILVA LOBO 492, PRADO;OESTE;2019;POINT (-43.92618074 -19.90639664)
SGO;2019-01-01 07:43:05;JANEIRO/2019;01/2019;AVENIDA SILVA LOBO 627, PRADO;OESTE;2019;POINT (-44.00935454 -19.90790092)
SGO;2019-01-01 22:15:20;JANEIRO/2019;01/2019;AVENIDA NOSSA SENHORA DE FATIMA 1462, CARLOS PRATES;NOROESTE;2019;POINT (-43.97408557 -19.92241627)
SGO;2019-01-02 05:39:21;JANEIRO/2019;01/2019;RUA PLATINA 1600, PRADO;OESTE;2019;POINT (-44.00935454 -19.90790092)
SGO;2019-01-02 05:40:45;JANEIRO/2019;01/2019;AVENIDA SILVA LOBO 627, PRADO;OESTE;2019;POINT (-43.9474759609403 -19.9322060279292)
SGO;2019-01-02 16:14:10;JANEIRO/2019;01/2019;RUA DOS TIMBIRAS 2875, BARRO PRETO;CENTRO-SUL;2019;POINT (-43.95627565 -19.93026525)
SGO;2019-01-03 05:33:04;JANEIRO/2019;01/2019;RUA PLATINA 1725, PRADO;OESTE;2019;POINT (-43.93792081 -19.92207489)
SGO;2019-01-03 05:41:19;JANEIRO/2019;01/2019;AVENIDA SILVA LOBO 492, PRADO;OESTE;2019;POINT (-43.9558869306452 -19.9310809805728)
SGO;2019-01-03 05:56:38;JANEIRO/2019;01/2019;AVENIDA SILVA LOBO 701, PRADO;OESTE;2019;POINT (-43.94816448 -19.93277499)
SGO;2019-01-03 06:45:04;JANEIRO/2019;01/2019;AVENIDA SILVIANO BRANDAO 289, FLORESTA;LESTE;2019;POINT (-43.96784278 -19.92167749)
SGO;2019-01-03 07:28:53;JANEIRO/2019;01/2019;AVENIDA PRESIDENTE ANTONIO CARLOS 4175, SAO FRANCISCO;PAMPULHA;2019;POINT (-43.93540816 -19.91691994)
