origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
CLARO;2024-01-01 00:25:00;JANEIRO/2024;01/2024;AVENIDA BARAO HOMEM DE MELO 3180, ESTORIL;OESTE;2024;POINT (-43.9573237 -19.8645073)
CLARO;2024-01-01 00:25:00;JANEIRO/2024;01/2024;AVENIDA BARAO HOMEM DE MELO 3180, ESTORIL;OESTE;2024;POINT (-44.03303079 -20.01324042)
SICOP;2024-01-01 00:25:00;JANEIRO/2024;01/2024;AVENIDA BARAO HOMEM DE MELO 0, Nova Granada;OESTE;2024;POINT (-43.9391430387244 -19.9164933757271)
CLARO;2024-01-01 00:41:00;JANEIRO/2024;01/2024;RUA TENENTE RENATO CESAR 21, CIDADE JARDIM;CENTRO-SUL;2024;POINT (-43.9573237 -19.8645073)
CLARO;2024-01-01 00:41:00;JANEIRO/2024;01/2024;RUA TENENTE RENATO CESAR 21, CIDADE JARDIM;CENTRO-SUL;2024;POINT (-44.03303079 -20.01324042)
V.TAL;2024-01-01 03:36:00;JANEIRO/2024;01/2024;RUA FARIAS BRITO 1140, SANTA MARIA;OESTE;2024;POINT (-43.9091784 -19.9026318)
V.TAL;2024-01-01 03:36:00;JANEIRO/2024;01/2024;RUA FARIAS BRITO 1140, SANTA MARIA;OESTE;2024;POINT (-44.01414746 -19.97754413)
CLARO;2024-01-02 00:36:00;JANEIRO/2024;01/2024;RUA JUIZ COSTA VAL 941, SANTA EFIGENIA;LESTE;2024;POINT (-43.9712448 -19.861895)
CLARO;2024-01-02 00:36:00;JANEIRO/2024;01/2024;RUA JUIZ COSTA VAL 941, SANTA EFIGENIA;LESTE;2024;POINT (-43.91533976 -19.93805372)
CLARO;2024-01-02 00:46:00;JANEIRO/2024;01/2024;RUA PONTE NOVA 263, COLEGIO BATISTA;NORDESTE;2024;POINT (-43.91533976 -19.93805372)
CLARO;2024-01-02 00:46:00;JANEIRO/2024;01/2024;RUA PONTE NOVA 263, COLEGIO BATISTA;NORDESTE;2024;POINT (-43.9712448 -19.861895)
V.TAL;2024-01-02 01:08:00;JANEIRO/2024;01/2024;RUA IZABEL BUENO 934, JARAGUA;PAMPULHA;2024;POINT (-43.9245302660692 -19.9324436308295)
V.TAL;2024-01-02 01:08:00;JANEIRO/2024;01/2024;RUA IZABEL BUENO 934, JARAGUA;PAMPULHA;2024;POINT (-43.9466302943349 -19.8362446623283)
V.TAL;2024-01-02 01:09:00;JANEIRO/2024;01/2024;RUA GONCALO ALVES 125, SAO CRISTOVAO;NORDESTE;2024;POINT (-43.952579 -19.9331754)
V.TAL;2024-01-02 01:09:00;JANEIRO/2024;01/2024;RUA GONCALO ALVES 125, SAO CRISTOVAO;NORDESTE;2024;POINT (-43.93901233 -19.93970386)
