origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
CLARO;2025-01-01 00:47:00;JANEIRO/2025;01/2025;RUA CALDAS DA RAINHA 612, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.96145094 -19.90789572)
CLARO;2025-01-01 00:47:00;JANEIRO/2025;01/2025;RUA CALDAS DA RAINHA 612, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.9786085 -19.8652744)
CLARO;2025-01-01 02:03:00;JANEIRO/2025;01/2025;RUA TAVARES BASTOS 450, CORAÇAO DE JESUS;CENTRO-SUL;2025;POINT (-43.93555904 -19.89405537)
CLARO;2025-01-01 02:03:00;JANEIRO/2025;01/2025;RUA TAVARES BASTOS 450, CORAÇAO DE JESUS;CENTRO-SUL;2025;POINT (-43.9786085 -19.8652744)
SGO;2025-01-01 07:25:00;JANEIRO/2025;01/2025;AVENIDA DOS ANDRADAS 4100, ESPLANADA;LESTE;2025;POINT (-44.05490643 -19.98743333)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA ITAMOGI 108, COLEGIO BATISTA;LESTE;2025;POINT (-43.9378765 -19.92862601)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA ANTONIO VIEIRA DA CRUZ 0, MINASCAIXA;PAMPULHA;2025;POINT (-43.94161399 -19.91591675)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA FLORIDA 0, CARMO;CENTRO-SUL;2025;POINT (-43.9378765 -19.92862601)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA ITAMOGI 108, COLEGIO BATISTA;LESTE;2025;POINT (-43.933011 -19.87363043)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA FLORIDA 0, CARMO;CENTRO-SUL;2025;POINT (-43.933011 -19.87363043)
VIVO;2025-01-02 00:00:00;JANEIRO/2025;01/2025;RUA ANTONIO VIEIRA DA CRUZ 0, MINASCAIXA;PAMPULHA;2025;POINT (-43.90668621 -19.89495002)
CLARO;2025-01-02 01:15:00;JANEIRO/2025;01/2025;RUA SOUZA MAGALHAES 899, BARREIRO;BARREIRO;2025;POINT (-43.9580802 -19.826711)
CLARO;2025-01-02 01:15:00;JANEIRO/2025;01/2025;RUA SOUZA MAGALHAES 899, BARREIRO;BARREIRO;2025;POINT (-43.93555904 -19.89405537)
V.TAL;2025-01-02 01:46:00;JANEIRO/2025;01/2025;RUA CHICA DA SILVA 20, APARECIDA SETIMA SECAO;NOROESTE;2025;POINT (-43.9580802 -19.826711)
V.TAL;2025-01-02 01:46:00;JANEIRO/2025;01/2025;RUA CHICA DA SILVA 20, APARECIDA SETIMA SECAO;NOROESTE;2025;POINT (-43.97914695 -19.94533043)
V.TAL;2025-01-02 02:27:00;JANEIRO/2025;01/2025;AVENIDA CELSO PORFIRIO MACHADO 2120, BELVEDERE;CENTRO-SUL;2025;POINT (-43.9671498 -19.8118237)
V.TAL;2025-01-02 02:27:00;JANEIRO/2025;01/2025;AVENIDA CELSO PORFIRIO MACHADO 2120, BELVEDERE;CENTRO-SUL;2025;POINT (-43.97914695 -19.94533043)
V.TAL;2025-01-02 03:19:00;JANEIRO/2025;01/2025;RUA MANOEL FERREIRA LEAL 27, APARECIDA SETIMA SECAO;NOROESTE;2025;POINT (-43.97165468 -19.89253986)
V.TAL;2025-01-02 03:19:00;JANEIRO/2025;01/2025;RUA MANOEL FERREIRA LEAL 27, APARECIDA SETIMA SECAO;NOROESTE;2025;POINT (-43.9689121 -19.9683043)
V.TAL;2025-01-02 04:48:00;JANEIRO/2025;01/2025;RUA CASCAIS 2380, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.97165468 -19.89253986)
V.TAL;2025-01-02 04:48:00;JANEIRO/2025;01/2025;RUA CASCAIS 2380, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.9689121 -19.9683043)
CLARO;2025-01-02 05:17:00;JANEIRO/2025;01/2025;RUA CORONEL EGIDIO BENICIO DE ABREU 372, PARAISO;LESTE;2025;POINT (-43.96096773 -19.8884601)
CLARO;2025-01-02 05:17:00;JANEIRO/2025;01/2025;RUA CORONEL EGIDIO BENICIO DE ABREU 372, PARAISO;LESTE;2025;POINT (-43.9671498 -19.8118237)
V.TAL;2025-01-02 05:18:00;JANEIRO/2025;01/2025;RUA CASCAIS 2368, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.9717156 -19.8087681)
V.TAL;2025-01-02 05:18:00;JANEIRO/2025;01/2025;RUA CASCAIS 2368, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.9603220897264 -19.8880405026271)
SGO;2025-01-02 06:07:00;JANEIRO/2025;01/2025;RUA VEREADOR CICERO ILDEFONSO 710, JOAO PINHEIRO;NOROESTE;2025;POINT (-44.05490643 -19.98743333)
SGO;2025-01-02 06:19:00;JANEIRO/2025;01/2025;AVENIDA DOM PEDRO I 1130, ITAPOA;PAMPULHA;2025;POINT (-43.95330163 -19.89118082)
CLARO;2025-01-02 23:02:00;JANEIRO/2025;01/2025;RUA BOAVENTURA 987, INDAIA;PAMPULHA;2025;POINT (-43.96096773 -19.8884601)
CLARO;2025-01-02 23:02:00;JANEIRO/2025;01/2025;RUA BOAVENTURA 987, INDAIA;PAMPULHA;2025;POINT (-43.9717156 -19.8087681)
V.TAL;2025-01-03 00:31:02;JANEIRO/2025;01/2025;AVENIDA PRESIDENTE ANTONIO CARLOS 3780, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.90668621 -19.89495002)
V.TAL;2025-01-03 00:31:02;JANEIRO/2025;01/2025;AVENIDA PRESIDENTE ANTONIO CARLOS 3780, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.9497665 -19.8783081)
V.TAL;2025-01-03 01:25:00;JANEIRO/2025;01/2025;RUA THEODORO BONFIM 273, TAQUARIL;LESTE;2025;POINT (-43.89853772 -19.90705811)
V.TAL;2025-01-03 01:25:00;JANEIRO/2025;01/2025;RUA THEODORO BONFIM 273, TAQUARIL;LESTE;2025;POINT (-43.9497665 -19.8783081)
V.TAL;2025-01-03 03:31:05;JANEIRO/2025;01/2025;RUA JUIZ COSTA VAL 665, SANTA EFIGENIA;LESTE;2025;POINT (-43.990513 -19.958421)
V.TAL;2025-01-03 03:31:05;JANEIRO/2025;01/2025;RUA JUIZ COSTA VAL 665, SANTA EFIGENIA;LESTE;2025;POINT (-43.89853772 -19.90705811)
V.TAL;2025-01-03 04:30:00;JANEIRO/2025;01/2025;RUA CONEGO SANTA APOLONIA 41, CACHOEIRINHA;NORDESTE;2025;POINT (-43.990513 -19.958421)
V.TAL;2025-01-03 04:30:00;JANEIRO/2025;01/2025;RUA CONEGO SANTA APOLONIA 41, CACHOEIRINHA;NORDESTE;2025;POINT (-43.99527905 -19.93767099)
SGO;2025-01-03 09:06:00;JANEIRO/2025;01/2025;AVENIDA SARAMENHA 500, GUARANI;NORTE;2025;POINT (-43.95330163 -19.89118082)
CLARO;2025-01-03 23:15:00;JANEIRO/2025;01/2025;RUA FLORICENA FARIA FRAGA 241, SANTA CRUZ;NORDESTE;2025;POINT (-44.00680966 -19.91102168)
CLARO;2025-01-03 23:15:00;JANEIRO/2025;01/2025;RUA FLORICENA FARIA FRAGA 241, SANTA CRUZ;NORDESTE;2025;POINT (-43.99527905 -19.93767099)
VIVO;2025-01-04 00:00:00;JANEIRO/2025;01/2025;RUA ESPIRITO SANTO 0, CENTRO;HIPERCENTRO;2025;POINT (-44.00680966 -19.91102168)
VIVO;2025-01-04 00:00:00;JANEIRO/2025;01/2025;RUA ESPIRITO SANTO 0, CENTRO;HIPERCENTRO;2025;POINT (-43.94605633 -19.93588999)
VIVO;2025-01-04 00:00:00;JANEIRO/2025;01/2025;RUA FREI GERONIMO 0, CACHOEIRINHA;NORDESTE;2025;POINT (-43.98481265 -19.79135817)
VIVO;2025-01-04 00:00:00;JANEIRO/2025;01/2025;RUA FREI GERONIMO 0, CACHOEIRINHA;NORDESTE;2025;POINT (-43.9472727 -19.8951814)
V.TAL;2025-01-04 01:26:00;JANEIRO/2025;01/2025;RUA CONEGO SANTANA 1060, SANTA CRUZ;NORDESTE;2025;POINT (-43.99971373 -19.88181866)
V.TAL;2025-01-04 01:26:00;JANEIRO/2025;01/2025;RUA CONEGO SANTANA 1060, SANTA CRUZ;NORDESTE;2025;POINT (-44.0560662 -19.9781103)
V.TAL;2025-01-04 01:30:00;JANEIRO/2025;01/2025;RUA SOCRATES 704, NAZARE;NORDESTE;2025;POINT (-43.99971373 -19.88181866)
V.TAL;2025-01-04 01:30:00;JANEIRO/2025;01/2025;RUA SOCRATES 704, NAZARE;NORDESTE;2025;POINT (-43.93133254 -19.91471296)
V.TAL;2025-01-04 02:18:00;JANEIRO/2025;01/2025;RUA EVEREST 241, ACAIACA;NORDESTE;2025;POINT (-43.9128138 -19.85124141)
V.TAL;2025-01-04 02:18:00;JANEIRO/2025;01/2025;RUA EVEREST 241, ACAIACA;NORDESTE;2025;POINT (-43.93133254 -19.91471296)
CLARO;2025-01-04 03:00:00;JANEIRO/2025;01/2025;RUA JULIO DE CASTILHO 844, CINQUENTENARIO;OESTE;2025;POINT (-43.9128138 -19.85124141)
CLARO;2025-01-04 03:00:00;JANEIRO/2025;01/2025;RUA JULIO DE CASTILHO 844, CINQUENTENARIO;OESTE;2025;POINT (-43.9310876 -19.9034964)
V.TAL;2025-01-04 04:48:00;JANEIRO/2025;01/2025;AVENIDA PRESIDENTE ANTONIO CARLOS 1796, SAO FRANCISCO;PAMPULHA;2025;POINT (-43.94605633 -19.93588999)
V.TAL;2025-01-04 04:48:00;JANEIRO/2025;01/2025;AVENIDA PRESIDENTE ANTONIO CARLOS 1796, SAO FRANCISCO;PAMPULHA;2025;POINT (-44.0560662 -19.9781103)
CLARO;2025-01-04 04:56:00;JANEIRO/2025;01/2025;RUA ALBATROZ 827, VILA CLORIS;NORTE;2025;POINT (-43.94570482 -19.84050659)
CLARO;2025-01-04 04:56:00;JANEIRO/2025;01/2025;RUA ALBATROZ 827, VILA CLORIS;NORTE;2025;POINT (-43.9254329 -19.9367235)
CLARO;2025-01-04 05:53:00;JANEIRO/2025;01/2025;RUA PROFESSOR MILTON LAGE 613, NOVA ESPERANCA;NOROESTE;2025;POINT (-43.9310876 -19.9034964)
CLARO;2025-01-04 05:53:00;JANEIRO/2025;01/2025;RUA PROFESSOR MILTON LAGE 613, NOVA ESPERANCA;NOROESTE;2025;POINT (-43.94570482 -19.84050659)
SICOP;2025-01-04 16:32:00;JANEIRO/2025;01/2025;RUA DOUTOR SETTE CAMARA 0, Luxemburgo;CENTRO-SUL;2025;POINT (-43.9533674776205 -19.9149371035639)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA JOAO DONADA 0, SANTA TEREZINHA;PAMPULHA;2025;POINT (-43.94923414 -19.91104174)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA TELESCOPIO 0, BARREIRO;BARREIRO;2025;POINT (-43.90723304 -19.94064612)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA RAMALHO ORTIGAO 0, SANTA BRANCA;PAMPULHA;2025;POINT (-43.9174513 -19.9280869)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA RAMALHO ORTIGAO 0, SANTA BRANCA;PAMPULHA;2025;POINT (-43.90723304 -19.94064612)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA JOAO DONADA 0, SANTA TEREZINHA;PAMPULHA;2025;POINT (-43.9446925 -19.9266715)
VIVO;2025-01-05 00:00:00;JANEIRO/2025;01/2025;RUA TELESCOPIO 0, BARREIRO;BARREIRO;2025;POINT (-43.9174513 -19.9280869)
CLARO;2025-01-05 01:50:00;JANEIRO/2025;01/2025;RUA DAVID FONSECA 80, MILIONARIOS;BARREIRO;2025;POINT (-43.98481265 -19.79135817)
CLARO;2025-01-05 01:50:00;JANEIRO/2025;01/2025;RUA DAVID FONSECA 80, MILIONARIOS;BARREIRO;2025;POINT (-43.9472727 -19.8951814)
V.TAL;2025-01-05 02:57:00;JANEIRO/2025;01/2025;AVENIDA MEM DE SA 801, SANTA EFIGENIA;LESTE;2025;POINT (-43.9254329 -19.9367235)
V.TAL;2025-01-05 02:57:00;JANEIRO/2025;01/2025;AVENIDA MEM DE SA 801, SANTA EFIGENIA;LESTE;2025;POINT (-43.9832239 -19.7915636)
V.TAL;2025-01-05 03:11:00;JANEIRO/2025;01/2025;RUA SAO CLEMENTE 1132, SANTO ANDRE;NOROESTE;2025;POINT (-43.9832239 -19.7915636)
V.TAL;2025-01-05 03:11:00;JANEIRO/2025;01/2025;RUA SAO CLEMENTE 1132, SANTO ANDRE;NOROESTE;2025;POINT (-43.9162326 -19.9414771)
SICOP;2025-01-05 13:00:00;JANEIRO/2025;01/2025;RUA DOUTOR SETTE CAMARA 0, Luxemburgo;CENTRO-SUL;2025;POINT (-43.9357288843403 -19.9243315019478)
CLARO;2025-01-05 18:40:00;JANEIRO/2025;01/2025;RUA HENRIQUE CABRAL 78, SAO LUIZ;PAMPULHA;2025;POINT (-43.9162326 -19.9414771)
CLARO;2025-01-05 18:40:00;JANEIRO/2025;01/2025;RUA HENRIQUE CABRAL 78, SAO LUIZ;PAMPULHA;2025;POINT (-43.93993114 -19.91513055)
VIVO;2025-01-06 00:00:00;JANEIRO/2025;01/2025;RUA VARGINHA 0, COLEGIO BATISTA;HIPERCENTRO;2025;POINT (-43.9075603 -19.8298283)
VIVO;2025-01-06 00:00:00;JANEIRO/2025;01/2025;RUA VARGINHA 0, COLEGIO BATISTA;HIPERCENTRO;2025;POINT (-43.99948021 -19.9253047)
V.TAL;2025-01-06 01:24:00;JANEIRO/2025;01/2025;RUA FERNANDO DE NORONHA 754, GLORIA;NOROESTE;2025;POINT (-43.94923414 -19.91104174)
V.TAL;2025-01-06 01:24:00;JANEIRO/2025;01/2025;RUA FERNANDO DE NORONHA 754, GLORIA;NOROESTE;2025;POINT (-43.9446925 -19.9266715)
V.TAL;2025-01-06 01:56:00;JANEIRO/2025;01/2025;RUA ABIGAIL PIMENTEL TAVARES 83, GLORIA;NOROESTE;2025;POINT (-43.9129235 -19.9149304)
V.TAL;2025-01-06 01:56:00;JANEIRO/2025;01/2025;RUA ABIGAIL PIMENTEL TAVARES 83, GLORIA;NOROESTE;2025;POINT (-43.93602892 -19.84916201)
V.TAL;2025-01-06 03:32:00;JANEIRO/2025;01/2025;RUA SAMBAIBA 150, GUARANI;NORTE;2025;POINT (-43.9129235 -19.9149304)
V.TAL;2025-01-06 03:32:00;JANEIRO/2025;01/2025;RUA SAMBAIBA 150, GUARANI;NORTE;2025;POINT (-43.93602892 -19.84916201)
V.TAL;2025-01-06 04:13:00;JANEIRO/2025;01/2025;RUA CORONEL OTAVIO DINIZ 1100, PARAISO;LESTE;2025;POINT (-43.98634132 -19.83068361)
V.TAL;2025-01-06 04:13:00;JANEIRO/2025;01/2025;RUA CORONEL OTAVIO DINIZ 1100, PARAISO;LESTE;2025;POINT (-44.01956163 -19.93769156)
V.TAL;2025-01-06 05:03:00;JANEIRO/2025;01/2025;RUA DOS MACARICOS 498, VILA CLORIS;VENDA NOVA;2025;POINT (-43.98634132 -19.83068361)
V.TAL;2025-01-06 05:03:00;JANEIRO/2025;01/2025;RUA DOS MACARICOS 498, VILA CLORIS;VENDA NOVA;2025;POINT (-44.01956163 -19.93769156)
