origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
VIVO;2023-07-01 20:31:00;JULHO/2023;03/2023;RUA NILSON MACHADO 148, VALE DO JATOBA;BARREIRO;2023;POINT (-43.9494122672853 -19.91900955937);3
VIVO;2023-07-01 20:31:00;JULHO/2023;03/2023;RUA NILSON MACHADO 148, VALE DO JATOBA;BARREIRO;2023;POINT (-43.99634244 -19.96708456);3
SGO;2023-07-02 06:27:00;JULHO/2023;03/2023;AVENIDA PRESIDENTE ANTONIO CARLOS 3860, SAO FRANCISCO;PAMPULHA;2023;POINT (-44.00443821 -19.81128103);3
CLARO;2023-07-02 11:30:00;JULHO/2023;03/2023;RUA BRAULIO GOMES NOGUEIRA 152, TIROL;BARREIRO;2023;POINT (-43.99634244 -19.96708456);3
CLARO;2023-07-02 11:30:00;JULHO/2023;03/2023;RUA BRAULIO GOMES NOGUEIRA 152, TIROL;BARREIRO;2023;POINT (-43.9131999276825 -19.9036320090086);3
SGO;2023-07-03 06:56:00;JULHO/2023;03/2023;AVENIDA AUGUSTO DE LIMA 293, CENTRO;CENTRO-SUL;2023;POINT (-43.95537917 -19.94373444);3
VIVO;2023-07-03 07:43:00;JULHO/2023;03/2023;AVENIDA GUARATAN 1735, CALAFATE;OESTE;2023;POINT (-43.937379 -19.88727566);3
VIVO;2023-07-03 07:43:00;JULHO/2023;03/2023;AVENIDA GUARATAN 1735, CALAFATE;OESTE;2023;POINT (-44.05622861 -19.97872522);3
VIVO;2023-07-03 07:44:00;JULHO/2023;03/2023;RUA JEQUITAI 888, BOM JESUS;NOROESTE;2023;POINT (-44.05622861 -19.97872522);3
VIVO;2023-07-03 07:44:00;JULHO/2023;03/2023;RUA JEQUITAI 888, BOM JESUS;NOROESTE;2023;POINT (-43.937379 -19.88727566);3
SICOP;2023-07-03 07:51:00;JULHO/2023;03/2023;AVENIDA AUGUSTO DE LIMA 0, Centro;CENTRO-SUL;2023;POINT (-43.9476381835116 -19.9327763879769);3
SICOP;2023-07-03 08:11:00;JULHO/2023;03/2023;AVENIDA AMAZONAS 8900, Jardinópolis;OESTE;2023;POINT (-43.9423288440531 -19.9393843278149);3
VIVO;2023-07-03 09:55:00;JULHO/2023;03/2023;RUA VITORIA REGIA 181, LINDEIA;BARREIRO;2023;POINT (-43.92320667 -19.88502131);3
VIVO;2023-07-03 09:55:00;JULHO/2023;03/2023;RUA VITORIA REGIA 181, LINDEIA;BARREIRO;2023;POINT (-43.9167321362863 -19.8685167427262);3
VIVO;2023-07-03 10:07:00;JULHO/2023;03/2023;RUA CANTAGALO 283, APARECIDA;NOROESTE;2023;POINT (-43.91713566 -19.87388795);3
VIVO;2023-07-03 10:07:00;JULHO/2023;03/2023;RUA CANTAGALO 283, APARECIDA;NOROESTE;2023;POINT (-43.92320667 -19.88502131);3
VIVO;2023-07-03 10:12:00;JULHO/2023;03/2023;RUA JACUI 431, FLORESTA;LESTE;2023;POINT (-44.02876176 -19.9880723);3
VIVO;2023-07-03 10:12:00;JULHO/2023;03/2023;RUA JACUI 431, FLORESTA;LESTE;2023;POINT (-43.95048885 -19.94552692);3
VIVO;2023-07-03 16:11:00;JULHO/2023;03/2023;RUA GUANHAES 95, COLEGIO BATISTA;NORDESTE;2023;POINT (-43.91713566 -19.87388795);3
VIVO;2023-07-03 16:11:00;JULHO/2023;03/2023;RUA GUANHAES 95, COLEGIO BATISTA;NORDESTE;2023;POINT (-43.94441761 -19.90548878);3
SGO;2023-07-03 17:55:00;JULHO/2023;03/2023;AVENIDA RAJA GABAGLIA 1721, CONJUNTO SANTA MARIA;CENTRO-SUL;2023;POINT (-44.00443821 -19.81128103);3
CLARO;2023-07-03 23:30:00;JULHO/2023;03/2023;RUA DORESOPOLIS 676, FERNAO DIAS;NORDESTE;2023;POINT (-44.02876176 -19.9880723);3
CLARO;2023-07-03 23:30:00;JULHO/2023;03/2023;RUA DORESOPOLIS 676, FERNAO DIAS;NORDESTE;2023;POINT (-43.95048885 -19.94552692);3
CLARO;2023-07-04 00:48:00;JULHO/2023;03/2023;RUA JOVIANO NAVES 56, PALMARES;NORDESTE;2023;POINT (-43.94042303 -19.81059177);3
CLARO;2023-07-04 00:48:00;JULHO/2023;03/2023;RUA JOVIANO NAVES 56, PALMARES;NORDESTE;2023;POINT (-43.97633353 -19.85757319);3
CLARO;2023-07-04 01:05:00;JULHO/2023;03/2023;RUA MANOEL VENANCIO MARTINS 471, PALMARES;NORDESTE;2023;POINT (-43.91379175 -19.91579042);3
CLARO;2023-07-04 01:05:00;JULHO/2023;03/2023;RUA MANOEL VENANCIO MARTINS 471, PALMARES;NORDESTE;2023;POINT (-43.94042303 -19.81059177);3
SGO;2023-07-04 07:40:00;JULHO/2023;03/2023;AVENIDA RAJA GABAGLIA 1315, LUXEMBURGO;CENTRO-SUL;2023;POINT (-43.95537917 -19.94373444);3
VIVO;2023-07-04 10:30:00;JULHO/2023;03/2023;AVENIDA SENADOR LEVINDO COELHO 1907, INDEPENDENCIA;BARREIRO;2023;POINT (-43.92214843 -19.88896908);3
VIVO;2023-07-04 10:30:00;JULHO/2023;03/2023;AVENIDA SENADOR LEVINDO COELHO 1907, INDEPENDENCIA;BARREIRO;2023;POINT (-43.97633353 -19.85757319);3
