origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
VIVO;2024-07-01 00:00:00;JULHO/2024;03/2024;RUA CELIO DE CASTRO 56, COLEGIO BATISTA;LESTE;2024;POINT (-43.93022734 -19.89551663);3
VIVO;2024-07-01 00:00:00;JULHO/2024;03/2024;RUA JANUARIO BORGES 294, JARDIM VITORIA;NORDESTE;2024;POINT (-43.88878058 -19.89475033);3
VIVO;2024-07-01 00:00:00;JULHO/2024;03/2024;RUA CELIO DE CASTRO 56, COLEGIO BATISTA;LESTE;2024;POINT (-43.9139622 -19.8916463);3
VIVO;2024-07-01 00:00:00;JULHO/2024;03/2024;RUA JANUARIO BORGES 294, JARDIM VITORIA;NORDESTE;2024;POINT (-43.9652879747986 -19.932341743497);3
V.TAL;2024-07-01 00:21:00;JULHO/2024;03/2024;RUA HERACLITO 102, NAZARE;NORDESTE;2024;POINT (-43.98149537 -19.80452064);3
V.TAL;2024-07-01 00:21:00;JULHO/2024;03/2024;RUA HERACLITO 102, NAZARE;NORDESTE;2024;POINT (-43.9582197172504 -19.9198698399368);3
SICOP;2024-07-01 00:30:00;JULHO/2024;03/2024;AVENIDA PRESIDENTE ANTONIO CARLOS 3272, Cachoeirinha;NORDESTE;2024;POINT (-43.9549116278385 -19.9126740881316);3
V.TAL;2024-07-01 00:52:00;JULHO/2024;03/2024;RUA JOSE FELIX MARTINS 673, MANTIQUEIRA;VENDA NOVA;2024;POINT (-44.0337498 -20.0128459);3
V.TAL;2024-07-01 00:52:00;JULHO/2024;03/2024;RUA JOSE FELIX MARTINS 673, MANTIQUEIRA;VENDA NOVA;2024;POINT (-43.98651309 -19.80746841);3
V.TAL;2024-07-01 01:52:00;JULHO/2024;03/2024;AVENIDA DAMA DA NOITE 1, MANGUEIRAS;BARREIRO;2024;POINT (-43.98651309 -19.80746841);3
V.TAL;2024-07-01 01:52:00;JULHO/2024;03/2024;AVENIDA DAMA DA NOITE 1, MANGUEIRAS;BARREIRO;2024;POINT (-44.0337498 -20.0128459);3
V.TAL;2024-07-01 01:55:00;JULHO/2024;03/2024;RUA PORTO 680, SAO FRANCISCO;PAMPULHA;2024;POINT (-43.9689261 -19.8158284);3
V.TAL;2024-07-01 01:55:00;JULHO/2024;03/2024;RUA PORTO 680, SAO FRANCISCO;PAMPULHA;2024;POINT (-43.9507721661373 -19.8877112954018);3
V.TAL;2024-07-01 02:02:05;JULHO/2024;03/2024;RUA RAIMUNDO HILARIO DE OLIVEIRA 175, GOIANIA;NORDESTE;2024;POINT (-43.9689261 -19.8158284);3
V.TAL;2024-07-01 02:02:05;JULHO/2024;03/2024;RUA RAIMUNDO HILARIO DE OLIVEIRA 175, GOIANIA;NORDESTE;2024;POINT (-43.8831866 -19.90788191);3
SGO;2024-07-01 02:18:00;JULHO/2024;03/2024;RUA RIO POMBA 691, PADRE EUSTAQUIO;NOROESTE;2024;POINT (-43.91024152 -19.92767979);3
V.TAL;2024-07-01 02:26:00;JULHO/2024;03/2024;RUA PINHEIROS 593, APARECIDA;NOROESTE;2024;POINT (-43.8831866 -19.90788191);3
V.TAL;2024-07-01 02:26:00;JULHO/2024;03/2024;RUA PINHEIROS 593, APARECIDA;NOROESTE;2024;POINT (-43.9566014751749 -19.9439491810142);3
V.TAL;2024-07-01 03:25:00;JULHO/2024;03/2024;RUA CORONEL EGIDIO BENICIO DE ABREU 371, PARAISO;LESTE;2024;POINT (-43.905646640561 -19.901428310414);3
V.TAL;2024-07-01 03:25:00;JULHO/2024;03/2024;RUA CORONEL EGIDIO BENICIO DE ABREU 371, PARAISO;LESTE;2024;POINT (-43.89051438 -19.83457699);3
V.TAL;2024-07-01 04:25:00;JULHO/2024;03/2024;RUA ANTONIO MARIANO DE ABREU 664, PAULO VI;NORDESTE;2024;POINT (-43.9396507551516 -19.9181710815925);3
V.TAL;2024-07-01 04:25:00;JULHO/2024;03/2024;RUA ANTONIO MARIANO DE ABREU 664, PAULO VI;NORDESTE;2024;POINT (-43.89051438 -19.83457699);3
V.TAL;2024-07-01 04:50:00;JULHO/2024;03/2024;RUA SANTA CATARINA 813, CENTRO;CENTRO-SUL;2024;POINT (-43.88878058 -19.89475033);3
V.TAL;2024-07-01 04:50:00;JULHO/2024;03/2024;RUA SANTA CATARINA 813, CENTRO;CENTRO-SUL;2024;POINT (-43.96528797 -19.93234174);3
V.TAL;2024-07-01 05:39:00;JULHO/2024;03/2024;AVENIDA AMAZONAS 7465, NOVA GAMELEIRA;OESTE;2024;POINT (-43.9139622 -19.8916463);3
V.TAL;2024-07-01 05:39:00;JULHO/2024;03/2024;AVENIDA AMAZONAS 7465, NOVA GAMELEIRA;OESTE;2024;POINT (-43.93022734 -19.89551663);3
SICOP;2024-07-01 05:51:00;JULHO/2024;03/2024;RUA OURO FINO 367, Cruzeiro;CENTRO-SUL;2024;POINT (-43.9308332058455 -19.9051940060135);3
V.TAL;2024-07-01 07:54:00;JULHO/2024;03/2024;AVENIDA AMAZONAS 8000, JARDINOPOLIS;OESTE;2024;POINT (-44.01820235 -19.99827094);3
V.TAL;2024-07-01 07:54:00;JULHO/2024;03/2024;AVENIDA AMAZONAS 8000, JARDINOPOLIS;OESTE;2024;POINT (-43.9653857640728 -19.9323549790776);3
SGO;2024-07-01 08:06:00;JULHO/2024;03/2024;AVENIDA PRESIDENTE ANTONIO CARLOS 705, LAGOINHA;NOROESTE;2024;POINT (-43.96016344 -19.82544806);3
SGO;2024-07-01 09:03:00;JULHO/2024;03/2024;AVENIDA PRUDENTE DE MORAIS 593, SANTO ANTONIO;CENTRO-SUL;2024;POINT (-43.96016344 -19.82544806);3
SICOP;2024-07-01 09:16:00;JULHO/2024;03/2024;AVENIDA PRESIDENTE ANTONIO CARLOS 705, Lagoinha;NOROESTE;2024;POINT (-43.9346863605211 -19.9154667589924);3
SICOP;2024-07-01 09:19:00;JULHO/2024;03/2024;AVENIDA PRUDENTE DE MORAIS 605, Santo Antônio;CENTRO-SUL;2024;POINT (-43.9590092396646 -19.9461343542525);3
VIVO;2024-07-02 00:00:00;JULHO/2024;03/2024;RUA ITAGUARA 137, COLEGIO BATISTA;NORDESTE;2024;POINT (-43.951693 -19.81949);3
VIVO;2024-07-02 00:00:00;JULHO/2024;03/2024;RUA ITAGUARA 137, COLEGIO BATISTA;NORDESTE;2024;POINT (-43.92071133 -19.90620104);3
V.TAL;2024-07-02 00:48:00;JULHO/2024;03/2024;RUA PROFESSOR DUQUE 327, HAVAI;OESTE;2024;POINT (-44.01820235 -19.99827094);3
V.TAL;2024-07-02 00:48:00;JULHO/2024;03/2024;RUA PROFESSOR DUQUE 327, HAVAI;OESTE;2024;POINT (-43.9775173 -19.9119956);3
