origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
VIVO;2024-10-01 00:00:00;OUTUBRO/2024;04/2024;RUA BICAS 0, SAGRADA FAMILIA;LESTE;2024;POINT (-43.9691 -19.8923);4
VIVO;2024-10-01 00:00:00;OUTUBRO/2024;04/2024;RUA CASTOR 0, MIRAMAR;BARREIRO;2024;POINT (-43.9691 -19.8923);4
VIVO;2024-10-01 00:00:00;OUTUBRO/2024;04/2024;RUA BICAS 0, SAGRADA FAMILIA;LESTE;2024;POINT (-43.90399948 -19.91477854);4
VIVO;2024-10-01 00:00:00;OUTUBRO/2024;04/2024;RUA CASTOR 0, MIRAMAR;BARREIRO;2024;POINT (-43.90414967 -19.8582326);4
CLARO;2024-10-01 01:15:00;OUTUBRO/2024;04/2024;RUA CACUERA 443, JARAGUA;PAMPULHA;2024;POINT (-43.95742584 -19.88490652);4
CLARO;2024-10-01 01:15:00;OUTUBRO/2024;04/2024;RUA CACUERA 443, JARAGUA;PAMPULHA;2024;POINT (-43.95272894 -19.81857625);4
V.TAL;2024-10-01 02:17:00;OUTUBRO/2024;04/2024;RUA PADRE PEDRO PINTO 2310, VENDA NOVA;VENDA NOVA;2024;POINT (-43.94654809 -19.82360472);4
V.TAL;2024-10-01 02:17:00;OUTUBRO/2024;04/2024;RUA PADRE PEDRO PINTO 2310, VENDA NOVA;VENDA NOVA;2024;POINT (-43.9625272207704 -19.9333365423822);4
CLARO;2024-10-01 02:26:00;OUTUBRO/2024;04/2024;RUA FLUORINA 1291, PARAISO;LESTE;2024;POINT (-43.95661931 -19.93500451);4
CLARO;2024-10-01 02:26:00;OUTUBRO/2024;04/2024;RUA FLUORINA 1291, PARAISO;LESTE;2024;POINT (-43.94654809 -19.82360472);4
CLARO;2024-10-01 02:49:00;OUTUBRO/2024;04/2024;RUA SANTOS 391, JARDIM AMERICA;OESTE;2024;POINT (-43.9129 -19.8531);4
CLARO;2024-10-01 02:49:00;OUTUBRO/2024;04/2024;RUA SANTOS 391, JARDIM AMERICA;OESTE;2024;POINT (-43.9465480945546 -19.8236047222799);4
SICOP;2024-10-01 04:15:00;OUTUBRO/2024;04/2024;RUA PROFESSOR ESTEVAO PINTO 427, Serra;CENTRO-SUL;2024;POINT (-43.9602471162367 -19.9112571466388);4
V.TAL;2024-10-01 04:29:00;OUTUBRO/2024;04/2024;RUA ALUIZIO TEIXEIRA DA SILVA 104, MANTIQUEIRA;VENDA NOVA;2024;POINT (-43.9129 -19.8531);4
V.TAL;2024-10-01 04:29:00;OUTUBRO/2024;04/2024;RUA ALUIZIO TEIXEIRA DA SILVA 104, MANTIQUEIRA;VENDA NOVA;2024;POINT (-43.96202539 -19.83440405);4
V.TAL;2024-10-01 05:01:00;OUTUBRO/2024;04/2024;RUA PEDRA DA VARZEA 77, PIRATININGA;VENDA NOVA;2024;POINT (-43.9795 -19.96);4
V.TAL;2024-10-01 05:01:00;OUTUBRO/2024;04/2024;RUA PEDRA DA VARZEA 77, PIRATININGA;VENDA NOVA;2024;POINT (-43.96202539 -19.83440405);4
V.TAL;2024-10-01 20:05:00;OUTUBRO/2024;04/2024;RUA IRMA EUFEMIA 103, SANTA ROSA;PAMPULHA;2024;POINT (-43.9795 -19.96);4
V.TAL;2024-10-01 20:05:00;OUTUBRO/2024;04/2024;RUA IRMA EUFEMIA 103, SANTA ROSA;PAMPULHA;2024;POINT (-43.90399948 -19.91477854);4
VIVO;2024-10-02 00:00:00;OUTUBRO/2024;04/2024;RUA JULIA NUNES GUERRA 240, LUXEMBURGO;CENTRO-SUL;2024;POINT (-43.91635991 -19.92994098);4
VIVO;2024-10-02 00:00:00;OUTUBRO/2024;04/2024;RUA JULIA NUNES GUERRA 240, LUXEMBURGO;CENTRO-SUL;2024;POINT (-43.9223 -19.9316);4
CLARO;2024-10-02 00:26:00;OUTUBRO/2024;04/2024;RUA ANGELINA DE MATTOS SILVEIRA 906, NAZARE;NORDESTE;2024;POINT (-43.90414967 -19.8582326);4
CLARO;2024-10-02 00:26:00;OUTUBRO/2024;04/2024;RUA ANGELINA DE MATTOS SILVEIRA 906, NAZARE;NORDESTE;2024;POINT (-43.9921 -19.8034);4
CLARO;2024-10-02 00:28:00;OUTUBRO/2024;04/2024;RUA BALSAMAR 294, JARAGUA;PAMPULHA;2024;POINT (-43.91936022 -19.87302148);4
CLARO;2024-10-02 00:28:00;OUTUBRO/2024;04/2024;RUA BALSAMAR 294, JARAGUA;PAMPULHA;2024;POINT (-43.9921 -19.8034);4
VIVO;2024-10-02 01:55:00;OUTUBRO/2024;04/2024;RUA ERICO VERISSIMO 789, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.9311 -19.9466);4
VIVO;2024-10-02 01:55:00;OUTUBRO/2024;04/2024;RUA ERICO VERISSIMO 789, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.91936022 -19.87302148);4
VIVO;2024-10-02 02:34:00;OUTUBRO/2024;04/2024;AVENIDA ELISIO DE BRITO 400, SAO GERALDO;LESTE;2024;POINT (-43.94666495 -19.89017911);4
VIVO;2024-10-02 02:34:00;OUTUBRO/2024;04/2024;AVENIDA ELISIO DE BRITO 400, SAO GERALDO;LESTE;2024;POINT (-43.9311 -19.9466);4
V.TAL;2024-10-02 03:00:00;OUTUBRO/2024;04/2024;RUA ENGENHEIRO JOSE GUIMARAES 85, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.94666495 -19.89017911);4
V.TAL;2024-10-02 03:00:00;OUTUBRO/2024;04/2024;RUA ERICO VERISSIMO 800, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.92973665 -19.8709105);4
V.TAL;2024-10-02 03:00:00;OUTUBRO/2024;04/2024;RUA ENGENHEIRO JOSE GUIMARAES 85, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.93681004 -19.95212086);4
