origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
V.TAL;2023-10-01 00:55:00;OUTUBRO/2023;04/2023;RUA PITANGUI 484, LAGOINHA;NORDESTE;2023;POINT (-43.9414595553271 -19.9283489705296);4
V.TAL;2023-10-01 00:55:00;OUTUBRO/2023;04/2023;RUA PITANGUI 484, LAGOINHA;NORDESTE;2023;POINT (-43.97168413 -19.81542031);4
CLARO;2023-10-01 05:00:00;OUTUBRO/2023;04/2023;RUA LEOPOLDINO DOS PASSOS 101, SAO JOSE;PAMPULHA;2023;POINT (-43.94208955 -19.92803757);4
CLARO;2023-10-01 05:00:00;OUTUBRO/2023;04/2023;RUA LEOPOLDINO DOS PASSOS 101, SAO JOSE;PAMPULHA;2023;POINT (-43.97168413 -19.81542031);4
SGO;2023-10-01 13:47:00;OUTUBRO/2023;04/2023;RUA DOS GUAJAJARAS 143, BOA VIAGEM;CENTRO-SUL;2023;POINT (-43.9797652 -19.87139237);4
CLARO;2023-10-02 00:18:00;OUTUBRO/2023;04/2023;RUA PROFESSOR TAVARES PAES 420, JARDIM AMERICA;OESTE;2023;POINT (-43.94653087 -19.92092273);4
CLARO;2023-10-02 00:18:00;OUTUBRO/2023;04/2023;RUA PROFESSOR TAVARES PAES 420, JARDIM AMERICA;OESTE;2023;POINT (-43.95502921 -19.9041847);4
V.TAL;2023-10-02 00:35:00;OUTUBRO/2023;04/2023;RUA OLIVEIRA PENA 112, SAO JOSE;PAMPULHA;2023;POINT (-43.95502921 -19.9041847);4
V.TAL;2023-10-02 00:35:00;OUTUBRO/2023;04/2023;RUA OLIVEIRA PENA 112, SAO JOSE;PAMPULHA;2023;POINT (-43.9464863608826 -19.9209141039074);4
CLARO;2023-10-02 01:36:00;OUTUBRO/2023;04/2023;RUA MORUNGABA 309, MARILANDIA;BARREIRO;2023;POINT (-43.9322211 -19.8702406);4
CLARO;2023-10-02 01:36:00;OUTUBRO/2023;04/2023;RUA MORUNGABA 309, MARILANDIA;BARREIRO;2023;POINT (-43.99929663 -19.89224926);4
V.TAL;2023-10-02 02:48:00;OUTUBRO/2023;04/2023;RUA BELMIRO BRAGA 275, CAICARAS;NOROESTE;2023;POINT (-43.9322211 -19.8702406);4
V.TAL;2023-10-02 02:48:00;OUTUBRO/2023;04/2023;RUA BELMIRO BRAGA 275, CAICARAS;NOROESTE;2023;POINT (-43.99929663 -19.89224926);4
V.TAL;2023-10-02 03:46:00;OUTUBRO/2023;04/2023;BECO CABO VICENTE 71, ALTO VERA CRUZ;LESTE;2023;POINT (-43.9103597511744 -19.9194538229319);4
