origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
OI;2023-04-01 11:00:00;ABRIL/2023;02/2023;RUA ICARAI 6, CAICARAS;NOROESTE;2023;POINT (-43.93188298 -19.86398929);2
OI;2023-04-01 11:00:00;ABRIL/2023;02/2023;RUA ICARAI 6, CAICARAS;NOROESTE;2023;POINT (-43.98511045 -19.80280579);2
OI;2023-04-01 11:16:00;ABRIL/2023;02/2023;RUA RITA DE CASSIA PAIXAO 25, TUNEL DE IBIRITE;BARREIRO;2023;POINT (-43.93188298 -19.86398929);2
OI;2023-04-01 11:16:00;ABRIL/2023;02/2023;RUA RITA DE CASSIA PAIXAO 25, TUNEL DE IBIRITE;BARREIRO;2023;POINT (-43.96877681 -19.83455911);2
VIVO;2023-04-01 14:46:00;ABRIL/2023;02/2023;RUA ALEM PARAIBA 100, LAGOINHA;NOROESTE;2023;POINT (-43.96877681 -19.83455911);2
VIVO;2023-04-01 14:46:00;ABRIL/2023;02/2023;RUA ALEM PARAIBA 100, LAGOINHA;NOROESTE;2023;POINT (-43.91983754 -19.8688504);2
VIVO;2023-04-01 14:51:00;ABRIL/2023;02/2023;RUA DO SERRO 101, LAGOINHA;NOROESTE;2023;POINT (-43.91983754 -19.8688504);2
VIVO;2023-04-01 14:51:00;ABRIL/2023;02/2023;RUA DO SERRO 101, LAGOINHA;NOROESTE;2023;POINT (-43.96568297 -19.83495676);2
VIVO;2023-04-01 15:51:00;ABRIL/2023;02/2023;RUA DA PATAGONIA 66, SION;CENTRO-SUL;2023;POINT (-43.9646069993696 -19.8330654112938);2
VIVO;2023-04-01 15:51:00;ABRIL/2023;02/2023;RUA DA PATAGONIA 66, SION;CENTRO-SUL;2023;POINT (-43.98414241 -19.93052294);2
VIVO;2023-04-01 16:03:00;ABRIL/2023;02/2023;RUA CASSIA S/N, PRADO;OESTE;2023;POINT (-43.96568297 -19.83495676);2
VIVO;2023-04-01 16:03:00;ABRIL/2023;02/2023;RUA CASSIA S/N, PRADO;OESTE;2023;POINT (-43.98414241 -19.93052294);2
SGO;2023-04-02 13:55:00;ABRIL/2023;02/2023;RUA ALVARES MACIEL 452, SANTA EFIGENIA;CENTRO-SUL;2023;POINT (-44.00089621 -19.99843313);2
SGO;2023-04-02 17:06:00;ABRIL/2023;02/2023;RUA RIO GRANDE DO SUL 366, CENTRO;CENTRO-SUL;2023;POINT (-43.92724786 -19.89362238);2
SGO;2023-04-02 23:12:00;ABRIL/2023;02/2023;RUA ALVARES MACIEL 452, SANTA EFIGENIA;CENTRO-SUL;2023;POINT (-43.92724786 -19.89362238);2
SGO;2023-04-02 23:32:00;ABRIL/2023;02/2023;RUA CELIO DE CASTRO 217, COLEGIO BATISTA;LESTE;2023;POINT (-43.96969579 -19.82915497);2
SICOP;2023-04-02 23:36:00;ABRIL/2023;02/2023;RUA CELIO DE CASTRO 0, Colégio Batista;LESTE;2023;POINT (-43.9525902033834 -19.8774893573807);2
CLARO;2023-04-03 05:30:00;ABRIL/2023;02/2023;RUA BELMIRO DE ALMEIDA 209, APARECIDA;NOROESTE;2023;POINT (-43.9863532 -19.89036453);2
CLARO;2023-04-03 05:30:00;ABRIL/2023;02/2023;RUA BELMIRO DE ALMEIDA 209, APARECIDA;NOROESTE;2023;POINT (-43.93721177 -19.92327024);2
SGO;2023-04-03 05:40:00;ABRIL/2023;02/2023;AVENIDA DO CONTORNO 565, CENTRO;CENTRO-SUL;2023;POINT (-43.96969579 -19.82915497);2
SGO;2023-04-03 05:42:00;ABRIL/2023;02/2023;AVENIDA AMAZONAS 5855, GAMELEIRA;OESTE;2023;POINT (-43.93987438 -19.80878869);2
OI;2023-04-03 09:49:00;ABRIL/2023;02/2023;RUA RAUL SEIXAS 154, MANACAS;PAMPULHA;2023;POINT (-43.93721177 -19.92327024);2
OI;2023-04-03 09:49:00;ABRIL/2023;02/2023;RUA RAUL SEIXAS 154, MANACAS;PAMPULHA;2023;POINT (-43.9863532 -19.89036453);2
OI;2023-04-03 11:32:00;ABRIL/2023;02/2023;RUA DOS TUPINAMBAS 1560, CENTRO;CENTRO-SUL;2023;POINT (-43.9416614 -19.93098997);2
OI;2023-04-03 11:32:00;ABRIL/2023;02/2023;RUA DOS TUPINAMBAS 1560, CENTRO;CENTRO-SUL;2023;POINT (-43.92503027 -19.90534991);2
