origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
SGO;2024-04-02 05:40:00;ABRIL/2024;02/2024;AVENIDA DOM PEDRO II 4280, JARDIM MONTANHES;NOROESTE;2024;POINT (-43.96001489 -19.85927196);2
SGO;2024-04-02 06:51:00;ABRIL/2024;02/2024;AVENIDA BIAS FORTES 765, LOURDES;CENTRO-SUL;2024;POINT (-43.96001489 -19.85927196);2
VIVO;2024-04-03 00:00:00;ABRIL/2024;02/2024;RUA PADRE ODORICO 95, SAO PEDRO;CENTRO-SUL;2024;POINT (-43.92405709 -19.93228015);2
VIVO;2024-04-03 00:00:00;ABRIL/2024;02/2024;RUA PADRE ODORICO 95, SAO PEDRO;CENTRO-SUL;2024;POINT (-43.9360288 -19.9144985);2
V.TAL;2024-04-03 00:12:33;ABRIL/2024;02/2024;AVENIDA CRISTIANO MACHADO 5524, SAO PAULO;NORDESTE;2024;POINT (-43.8936378731361 -19.9037572529062);2
V.TAL;2024-04-03 00:12:33;ABRIL/2024;02/2024;AVENIDA CRISTIANO MACHADO 5524, SAO PAULO;NORDESTE;2024;POINT (-43.95228824 -19.87019202);2
V.TAL;2024-04-03 01:09:00;ABRIL/2024;02/2024;RUA JULIO DE CASTILHO 491, CINQUENTENARIO;OESTE;2024;POINT (-43.9398856 -19.8814268);2
V.TAL;2024-04-03 01:09:00;ABRIL/2024;02/2024;RUA JULIO DE CASTILHO 491, CINQUENTENARIO;OESTE;2024;POINT (-43.90033739 -19.9034704);2
CLARO;2024-04-03 04:00:00;ABRIL/2024;02/2024;RUA LAGUNA 68, SERRA;CENTRO-SUL;2024;POINT (-43.90033739 -19.9034704);2
CLARO;2024-04-03 04:00:00;ABRIL/2024;02/2024;RUA LAGUNA 68, SERRA;CENTRO-SUL;2024;POINT (-43.9398856 -19.8814268);2
V.TAL;2024-04-03 04:08:05;ABRIL/2024;02/2024;RUA SANTA ALEXANDRINA 398, ARAGUAIA;BARREIRO;2024;POINT (-43.9347991 -19.8784586);2
V.TAL;2024-04-03 04:08:05;ABRIL/2024;02/2024;RUA SANTA ALEXANDRINA 398, ARAGUAIA;BARREIRO;2024;POINT (-43.9538895392333 -19.8813546306975);2
V.TAL;2024-04-03 05:12:00;ABRIL/2024;02/2024;RUA JULIO CEZAR 335, NAZARE;NORDESTE;2024;POINT (-43.92405709 -19.93228015);2
V.TAL;2024-04-03 05:12:00;ABRIL/2024;02/2024;RUA JULIO CEZAR 335, NAZARE;NORDESTE;2024;POINT (-43.9347991 -19.8784586);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA LINDOLFO DE AZEVEDO 2605, JARDIM AMERICA;OESTE;2024;POINT (-43.98793642 -19.80230362);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA CONGONHAS 510, SANTO ANTONIO;CENTRO-SUL;2024;POINT (-43.98793642 -19.80230362);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA JOAO MARTINS 151, JARAGUA;PAMPULHA;2024;POINT (-43.98793642 -19.80230362);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA HAVANA 245, HAVAI;OESTE;2024;POINT (-43.9360288 -19.9144985);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA LINDOLFO DE AZEVEDO 2605, JARDIM AMERICA;OESTE;2024;POINT (-44.0204901 -19.910669);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA JOAO MARTINS 151, JARAGUA;PAMPULHA;2024;POINT (-43.9911241 -19.8927872);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA CONGONHAS 510, SANTO ANTONIO;CENTRO-SUL;2024;POINT (-44.0267109 -19.9783884);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA DOUTOR JULIO OTAVIANO FERREIRA 1072, CIDADE NOVA;NORDESTE;2024;POINT (-44.0204901 -19.910669);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA HAVANA 245, HAVAI;OESTE;2024;POINT (-43.97561124 -19.9601681);2
VIVO;2024-04-04 00:00:00;ABRIL/2024;02/2024;RUA DOUTOR JULIO OTAVIANO FERREIRA 1072, CIDADE NOVA;NORDESTE;2024;POINT (-43.98793642 -19.80230362);2
V.TAL;2024-04-04 01:12:52;ABRIL/2024;02/2024;RUA CAISSARA 424, SAO GERALDO;LESTE;2024;POINT (-44.0267109 -19.9783884);2
V.TAL;2024-04-04 01:12:52;ABRIL/2024;02/2024;RUA CAISSARA 424, SAO GERALDO;LESTE;2024;POINT (-43.9189685745985 -19.9467779589021);2
V.TAL;2024-04-04 02:25:32;ABRIL/2024;02/2024;RUA LIGNITO 303, SANTA EFIGENIA;LESTE;2024;POINT (-43.92199808 -19.9300591);2
V.TAL;2024-04-04 02:25:32;ABRIL/2024;02/2024;RUA LIGNITO 303, SANTA EFIGENIA;LESTE;2024;POINT (-43.9504161 -19.8770484);2
